workerid,animal,categoryID,setNum,featureSet,alternative,response
0,turtle,10,4,fast; weak,elephant,0.08
0,turtle,10,3,fast; strong,elephant,0.24
0,turtle,10,2,slow; weak,elephant,0.26
0,turtle,10,1,slow; strong,elephant,0.89
0,elephant,4,4,small; soft,turtle,0.05
0,elephant,4,2,big; soft,turtle,0.05
0,elephant,4,1,big; hard,turtle,0.34
0,elephant,4,3,small; hard,turtle,0.74
0,rabbit,12,4,slow; ugly,cat,0.1
0,rabbit,12,2,fast; ugly,cat,0.5
0,rabbit,12,3,slow; cute,cat,0.23
0,rabbit,12,1,fast; cute,cat,0.75
0,turtle,10,3,fast; strong,snail,0.05
0,turtle,10,1,slow; strong,snail,0.05
0,turtle,10,4,fast; weak,snail,0.05
0,turtle,10,2,slow; weak,snail,0.88
0,penguin,7,4,serious; ugly,monkey,0.56
0,penguin,7,2,funny; ugly,monkey,0.41
0,penguin,7,1,funny; cute,monkey,0.14
0,penguin,7,3,serious; cute,monkey,0.14
0,cheetah,9,1,fast; agile,monkey,0.62
0,cheetah,9,4,slow; clumsy,monkey,0.2
0,cheetah,9,2,fast; clumsy,monkey,0.43
0,cheetah,9,3,slow; agile,monkey,0.13
0,panda,5,1,cute; big,cat,0.16
0,panda,5,3,ugly; big,cat,0.21
0,panda,5,2,cute; small,cat,0.81
0,panda,5,4,ugly; small,cat,0.59
0,panda,5,4,ugly; small,elephant,0.1
0,panda,5,3,ugly; big,elephant,0.79
0,panda,5,2,cute; small,elephant,0.11
0,panda,5,1,cute; big,elephant,0.27
0,penguin,7,4,serious; ugly,cat,0.16
0,penguin,7,2,funny; ugly,cat,0.27
0,penguin,7,3,serious; cute,cat,0.42
0,penguin,7,1,funny; cute,cat,0.67
0,giraffe,8,3,petite; long,whale,0.19
0,giraffe,8,2,tall; short,whale,0.07
0,giraffe,8,1,tall; long,whale,0.14
0,giraffe,8,4,petite; short,whale,0.06
0,lion,11,3,gentle; strong,shark,0.09
0,lion,11,1,fierce; strong,shark,0.88
0,lion,11,2,fierce; weak,shark,0.33
0,lion,11,4,gentle; weak,shark,0.1
0,giraffe,8,1,tall; long,flamingo,0.58
0,giraffe,8,2,tall; short,flamingo,0.09
0,giraffe,8,4,petite; short,flamingo,0.1
0,giraffe,8,3,petite; long,flamingo,0.38
0,penguin,7,4,serious; ugly,man,0.62
0,penguin,7,3,serious; cute,man,0.2
0,penguin,7,1,funny; cute,man,0.18
0,penguin,7,2,funny; ugly,man,0.42
0,monkey,6,4,serious; stupid,cat,0.43
0,monkey,6,3,serious; smart,cat,0.16
0,monkey,6,1,funny; smart,cat,0.19
0,monkey,6,2,funny; stupid,cat,0.62
0,bird,3,1,fast; small,man,0.58
0,bird,3,2,fast; big,man,0.11
0,bird,3,4,slow; big,man,0.43
0,bird,3,3,slow; small,man,0.12
0,rabbit,12,4,slow; ugly,cheetah,0.02
0,rabbit,12,1,fast; cute,cheetah,0.7
0,rabbit,12,3,slow; cute,cheetah,0.03
0,rabbit,12,2,fast; ugly,cheetah,0.42
0,ant,1,3,big; industrious,man,0.29
0,ant,1,4,big; lazy,man,0.68
0,ant,1,1,small; industrious,man,0.48
0,ant,1,2,small; lazy,man,0.11
0,cheetah,9,4,slow; clumsy,leopard,0.05
0,cheetah,9,1,fast; agile,leopard,0.81
0,cheetah,9,2,fast; clumsy,leopard,0.55
0,cheetah,9,3,slow; agile,leopard,0.06
0,giraffe,8,4,petite; short,man,0.26
0,giraffe,8,1,tall; long,man,0.53
0,giraffe,8,2,tall; short,man,0
0,giraffe,8,3,petite; long,man,0.11
0,whale,2,2,big; shabby,elephant,0.69
0,whale,2,4,small; shabby,elephant,0.02
0,whale,2,1,big; majestic,elephant,0.26
0,whale,2,3,small; majestic,elephant,0.03
0,rabbit,12,1,fast; cute,jaguar,0.67
0,rabbit,12,4,slow; ugly,jaguar,0.04
0,rabbit,12,2,fast; ugly,jaguar,0.4
0,rabbit,12,3,slow; cute,jaguar,0.03
0,monkey,6,3,serious; smart,man,0.66
0,monkey,6,1,funny; smart,man,0.23
0,monkey,6,4,serious; stupid,man,0.08
0,monkey,6,2,funny; stupid,man,0.42
0,ant,1,4,big; lazy,mouse,0.03
0,ant,1,3,big; industrious,mouse,0.03
0,ant,1,2,small; lazy,mouse,0.16
0,ant,1,1,small; industrious,mouse,0.62
0,turtle,10,1,slow; strong,man,0.08
0,turtle,10,3,fast; strong,man,0.63
0,turtle,10,2,slow; weak,man,0.46
0,turtle,10,4,fast; weak,man,0.2
1,panda,5,4,ugly; small,dog,0.71
1,panda,5,2,cute; small,dog,1
1,panda,5,3,ugly; big,dog,0.56
1,panda,5,1,cute; big,dog,1
1,ant,1,4,big; lazy,mouse,0
1,ant,1,3,big; industrious,mouse,0
1,ant,1,2,small; lazy,mouse,0.79
1,ant,1,1,small; industrious,mouse,1
1,whale,2,1,big; majestic,lion,1
1,whale,2,2,big; shabby,lion,0.53
1,whale,2,3,small; majestic,lion,0
1,whale,2,4,small; shabby,lion,0
1,penguin,7,2,funny; ugly,kitten,0.45
1,penguin,7,4,serious; ugly,kitten,0
1,penguin,7,3,serious; cute,kitten,0.8
1,penguin,7,1,funny; cute,kitten,1
1,penguin,7,4,serious; ugly,penguin,0.29
1,penguin,7,3,serious; cute,penguin,0.75
1,penguin,7,2,funny; ugly,penguin,0.58
1,penguin,7,1,funny; cute,penguin,1
1,penguin,7,4,serious; ugly,dog,0.12
1,penguin,7,3,serious; cute,dog,1
1,penguin,7,1,funny; cute,dog,1
1,penguin,7,2,funny; ugly,dog,0.69
1,elephant,4,1,big; hard,whale,0.83
1,elephant,4,3,small; hard,whale,0
1,elephant,4,2,big; soft,whale,1
1,elephant,4,4,small; soft,whale,0
1,lion,11,1,fierce; strong,tiger,1
1,lion,11,2,fierce; weak,tiger,0.33
1,lion,11,3,gentle; strong,tiger,0
1,lion,11,4,gentle; weak,tiger,0
1,monkey,6,2,funny; stupid,dog,1
1,monkey,6,3,serious; smart,dog,0.81
1,monkey,6,4,serious; stupid,dog,0
1,monkey,6,1,funny; smart,dog,1
