workerid,gender,language,income,age,order,feature,altAnimal
A2OGWB5LE6RHNA,F,English,6,35,1,furry,rabbit
A2OGWB5LE6RHNA,F,English,6,35,2,striped,zebra
A2OGWB5LE6RHNA,F,English,6,35,3,large,elephant
A2OGWB5LE6RHNA,F,English,6,35,4,wooly,mammoth
A2OGWB5LE6RHNA,F,English,6,35,5,quiet,mouse
A2OGWB5LE6RHNA,F,English,6,35,6,noisy,cricket
A2OGWB5LE6RHNA,F,English,6,35,7,mean,snake
A2OGWB5LE6RHNA,F,English,6,35,8,independent,cat
A2OGWB5LE6RHNA,F,English,6,35,9,smelly,beaver
A2OGWB5LE6RHNA,F,English,6,35,10,soft,kitty
A2OGWB5LE6RHNA,F,English,6,35,11,scary,bear
A2OGWB5LE6RHNA,F,English,6,35,12,bouncy,tiger
A2OGWB5LE6RHNA,F,English,6,35,13,jumpy,lion
A2OGWB5LE6RHNA,F,English,6,35,14,graceful,bobcat
A2OGWB5LE6RHNA,F,English,6,35,15,pretty,giraffe
A2OGWB5LE6RHNA,F,English,6,35,16,wild,leopard
A2OGWB5LE6RHNA,F,English,6,35,17,ferocious,warthog
A2OGWB5LE6RHNA,F,English,6,35,18,fat,pig
A2OGWB5LE6RHNA,F,English,6,35,19,slimy,snail
A2OGWB5LE6RHNA,F,English,6,35,20,fast,dog
A2OGWB5LE6RHNA,F,English,6,35,21,friendly,parrot
A2OGWB5LE6RHNA,F,English,6,35,22,free,whale
A2OGWB5LE6RHNA,F,English,6,35,23,dumb,goat
A2OGWB5LE6RHNA,F,English,6,35,24,wet,duck
A2OGWB5LE6RHNA,F,English,6,35,25,small,ant
A2OGWB5LE6RHNA,F,English,6,35,26,cute,monkey
A2OGWB5LE6RHNA,F,English,6,35,27,funny,chimp
A2OGWB5LE6RHNA,F,English,6,35,28,fierce,gorilla
A2TDGWWPX6IMIZ,M,English,4,65,1,quacking,duck
A2TDGWWPX6IMIZ,M,English,4,65,2,funny,giraffe
A2TDGWWPX6IMIZ,M,English,4,65,3,hungry,lion
A2TDGWWPX6IMIZ,M,English,4,65,4,striped,tiger
A2TDGWWPX6IMIZ,M,English,4,65,5,dumb,goose
A2TDGWWPX6IMIZ,M,English,4,65,6,bouncy,cat
A2TDGWWPX6IMIZ,M,English,4,65,7,furry,dog
A2TDGWWPX6IMIZ,M,English,4,65,8,large,elephant
A2TDGWWPX6IMIZ,M,English,4,65,9,scary,cougar
A2TDGWWPX6IMIZ,M,English,4,65,10,noisy,chimpanzee
A2TDGWWPX6IMIZ,M,English,4,65,11,dirty,monkey
A2TDGWWPX6IMIZ,M,English,4,65,12,fast,cheetah
A2TDGWWPX6IMIZ,M,English,4,65,13,free,bird
A2TDGWWPX6IMIZ,M,English,4,65,14,mean,snake
A2TDGWWPX6IMIZ,M,English,4,65,15,big,whale
A2TDGWWPX6IMIZ,M,English,4,65,16,cold,seal
