workerid,gender,language,income,age,order,categoryID,origAnimal,feature,featureNum,altAnimal
A1CSDIX05PK9V,M,English,6,35,1,29,whale,majestic,3,eagle
A1CSDIX05PK9V,M,English,6,35,2,1,ant,busy,3,ants
A1CSDIX05PK9V,M,English,6,35,3,21,monkey,smart,2,dolphin
A1CSDIX05PK9V,M,English,6,35,4,29,whale,graceful,2,gazelle
A1CSDIX05PK9V,M,English,6,35,5,29,whale,large,1,hippo
A1CSDIX05PK9V,M,English,6,35,6,1,ant,small,1,squirrel
A1CSDIX05PK9V,M,English,6,35,7,21,monkey,funny,1,chimp
A1CSDIX05PK9V,M,English,6,35,8,21,monkey,playful,3,dog
A1CSDIX05PK9V,M,English,6,35,9,1,ant,strong,2,ape
A23VM3SZWYATBO,F,English,4,55,1,29,whale,large,1,elephant
A23VM3SZWYATBO,F,English,4,55,2,21,monkey,smart,2,dog
A23VM3SZWYATBO,F,English,4,55,3,1,ant,strong,2,ox
A23VM3SZWYATBO,F,English,4,55,4,29,whale,majestic,3,elk
A23VM3SZWYATBO,F,English,4,55,5,1,ant,small,1,mouse
A23VM3SZWYATBO,F,English,4,55,6,1,ant,busy,3,bee
A23VM3SZWYATBO,F,English,4,55,7,29,whale,graceful,2,swan
A23VM3SZWYATBO,F,English,4,55,8,21,monkey,funny,1,monkey
A23VM3SZWYATBO,F,English,4,55,9,21,monkey,playful,3,kitten
A3862RIFFUV141,M,English,4,45,1,29,whale,majestic,3,lion
A3862RIFFUV141,M,English,4,45,2,1,ant,small,1,mouse
A3862RIFFUV141,M,English,4,45,3,21,monkey,playful,3,kitten
A3862RIFFUV141,M,English,4,45,4,29,whale,large,1,elephant
A3862RIFFUV141,M,English,4,45,5,21,monkey,funny,1,goose
A3862RIFFUV141,M,English,4,45,6,1,ant,strong,2,bear
A3862RIFFUV141,M,English,4,45,7,29,whale,graceful,2,swan
A3862RIFFUV141,M,English,4,45,8,1,ant,busy,3,bee
A3862RIFFUV141,M,English,4,45,9,21,monkey,smart,2,dog
A262AAMPE1EGLI,F,English,0,55,1,29,whale,large,1,elephant
A262AAMPE1EGLI,F,English,0,55,2,21,monkey,playful,3,otter
A262AAMPE1EGLI,F,English,0,55,3,21,monkey,smart,2,dolphin
A262AAMPE1EGLI,F,English,0,55,4,1,ant,small,1,shrew
A262AAMPE1EGLI,F,English,0,55,5,1,ant,strong,2,water buffalo
A262AAMPE1EGLI,F,English,0,55,6,29,whale,majestic,3,eagle
A262AAMPE1EGLI,F,English,0,55,7,29,whale,graceful,2,swan
A262AAMPE1EGLI,F,English,0,55,8,1,ant,busy,3,beaver
A262AAMPE1EGLI,F,English,0,55,9,21,monkey,funny,1,parakeet
A16WTL2DOIQ5SV,M,English,6,25,1,21,monkey,playful,3,dog
A16WTL2DOIQ5SV,M,English,6,25,2,21,monkey,funny,1,turtle
A16WTL2DOIQ5SV,M,English,6,25,3,29,whale,majestic,3,lion
A16WTL2DOIQ5SV,M,English,6,25,4,21,monkey,smart,2,monkey
A16WTL2DOIQ5SV,M,English,6,25,5,29,whale,graceful,2,swan
A16WTL2DOIQ5SV,M,English,6,25,6,1,ant,strong,2,tiger
A16WTL2DOIQ5SV,M,English,6,25,7,1,ant,busy,3,ant
A16WTL2DOIQ5SV,M,English,6,25,8,29,whale,large,1,elephant
A16WTL2DOIQ5SV,M,English,6,25,9,1,ant,small,1,rat
ATHS9GUME1XCA,M,ENGLISH,4,55,1,21,monkey,smart,2,cat
ATHS9GUME1XCA,M,ENGLISH,4,55,2,21,monkey,funny,1,dog
ATHS9GUME1XCA,M,ENGLISH,4,55,3,1,ant,strong,2,lion
ATHS9GUME1XCA,M,ENGLISH,4,55,4,29,whale,majestic,3,cheetah
ATHS9GUME1XCA,M,ENGLISH,4,55,5,29,whale,graceful,2,deer
ATHS9GUME1XCA,M,ENGLISH,4,55,6,1,ant,small,1,mouse
ATHS9GUME1XCA,M,ENGLISH,4,55,7,1,ant,busy,3,tiger
ATHS9GUME1XCA,M,ENGLISH,4,55,8,29,whale,large,1,elephant
ATHS9GUME1XCA,M,ENGLISH,4,55,9,21,monkey,playful,3,puppy
A3P5QAEA7BMTDI,M,English,6,35,1,21,monkey,playful,3,cat
A3P5QAEA7BMTDI,M,English,6,35,2,1,ant,busy,3,bee
A3P5QAEA7BMTDI,M,English,6,35,3,29,whale,graceful,2,gazelle
A3P5QAEA7BMTDI,M,English,6,35,4,29,whale,majestic,3,lion
A3P5QAEA7BMTDI,M,English,6,35,5,21,monkey,funny,1,hyena
A3P5QAEA7BMTDI,M,English,6,35,6,29,whale,large,1,giraffe
A3P5QAEA7BMTDI,M,English,6,35,7,1,ant,strong,2,elephant
A3P5QAEA7BMTDI,M,English,6,35,8,21,monkey,smart,2,dolphin
A3P5QAEA7BMTDI,M,English,6,35,9,1,ant,small,1,hamster
A1NIO3JNX5QTN8,F,English,4,35,1,29,whale,majestic,3,horse
A1NIO3JNX5QTN8,F,English,4,35,2,21,monkey,playful,3,kitten
A1NIO3JNX5QTN8,F,English,4,35,3,21,monkey,funny,1,owl
A1NIO3JNX5QTN8,F,English,4,35,4,29,whale,graceful,2,deer
A1NIO3JNX5QTN8,F,English,4,35,5,1,ant,small,1,mouse
A1NIO3JNX5QTN8,F,English,4,35,6,21,monkey,smart,2,monkey
A1NIO3JNX5QTN8,F,English,4,35,7,1,ant,strong,2,gorilla
A1NIO3JNX5QTN8,F,English,4,35,8,29,whale,large,1,elephant
A1NIO3JNX5QTN8,F,English,4,35,9,1,ant,busy,3,bee
A1GOJEDZM2CQTN,M,English,4,35,1,29,whale,graceful,2,gazelle
A1GOJEDZM2CQTN,M,English,4,35,2,1,ant,small,1,cat
A1GOJEDZM2CQTN,M,English,4,35,3,21,monkey,playful,3,cat
A1GOJEDZM2CQTN,M,English,4,35,4,29,whale,majestic,3,lion
A1GOJEDZM2CQTN,M,English,4,35,5,29,whale,large,1,elephant
A1GOJEDZM2CQTN,M,English,4,35,6,1,ant,strong,2,lion
A1GOJEDZM2CQTN,M,English,4,35,7,1,ant,busy,3,mouse
A1GOJEDZM2CQTN,M,English,4,35,8,21,monkey,funny,1,squirrel
