category,industrious,agile,quiet,fast,sleek,small,prob
ant,0,0,1,2,0,0,1.6489688082122953e-7
ant,0,0,1,2,0,1,7.53404392999749e-8
ant,0,0,1,2,0,2,0.0000014765635717388222
ant,0,0,1,2,1,0,1.6489688082122953e-7
ant,0,0,1,2,1,1,7.53404392999749e-8
ant,0,0,1,2,1,2,0.0000014765635717388222
ant,0,0,1,2,2,0,1.6489688082122953e-7
ant,0,0,1,2,2,1,7.53404392999749e-8
ant,0,0,1,2,2,2,0.0000014765635717388222
ant,0,0,2,0,0,0,0.0000018925778855885225
ant,0,0,2,0,0,1,8.681009305772228e-7
ant,0,0,2,0,0,2,0.000016832540763289566
ant,0,0,2,0,1,0,0.0000018925778855885225
ant,0,0,2,0,1,1,8.681009305772228e-7
ant,0,0,2,0,1,2,0.000016832540763289566
ant,0,0,2,0,2,0,0.0000018925778855885225
ant,0,0,2,0,2,1,8.681009305772228e-7
ant,0,0,2,0,2,2,0.000016832540763289566
ant,0,0,2,1,0,0,7.453645086216228e-7
ant,0,0,2,1,0,1,3.4425024986825195e-7
ant,0,0,2,1,0,2,0.00000654958167698058
ant,0,0,2,1,1,0,7.453645086216228e-7
ant,0,0,2,1,1,1,3.4425024986825195e-7
ant,0,0,2,1,1,2,0.00000654958167698058
ant,0,0,2,1,2,0,7.453645086216228e-7
ant,0,0,2,1,2,1,3.4425024986825195e-7
ant,0,0,2,1,2,2,0.00000654958167698058
ant,0,0,2,2,0,0,1.6489688082122953e-7
ant,0,0,2,2,0,1,7.53404392999749e-8
ant,0,0,2,2,0,2,0.0000014765635717388222
ant,0,0,2,2,1,0,1.6489688082122953e-7
ant,0,0,2,2,1,1,7.53404392999749e-8
ant,0,0,2,2,1,2,0.0000014765635717388222
ant,0,0,2,2,2,0,1.6489688082122953e-7
ant,0,0,2,2,2,1,7.53404392999749e-8
ant,0,0,2,2,2,2,0.0000014765635717388222
ant,0,1,0,0,0,0,0.0000018925778855885225
ant,0,1,0,0,0,1,8.681009305772228e-7
ant,0,1,0,0,0,2,0.000016832540763289566
ant,0,1,0,0,1,0,0.0000018925778855885225
ant,0,1,0,0,1,1,8.681009305772228e-7
ant,0,1,0,0,1,2,0.000016832540763289566
ant,0,1,0,0,2,0,0.0000018925778855885225
ant,0,1,0,0,2,1,8.681009305772228e-7
ant,0,1,0,0,2,2,0.000016832540763289566
ant,0,1,0,1,0,0,7.453645086216228e-7
ant,0,1,0,1,0,1,3.4425024986825195e-7
ant,0,1,0,1,0,2,0.00000654958167698058
ant,0,1,0,1,1,0,7.453645086216228e-7
ant,0,1,0,1,1,1,3.4425024986825195e-7
ant,0,1,0,1,1,2,0.00000654958167698058
ant,0,1,0,1,2,0,7.453645086216228e-7
ant,0,1,0,1,2,1,3.4425024986825195e-7
ant,0,1,0,1,2,2,0.00000654958167698058
ant,0,1,0,2,0,0,1.6489688082122953e-7
ant,0,1,0,2,0,1,7.53404392999749e-8
ant,0,1,0,2,0,2,0.0000014765635717388222
ant,0,1,0,2,1,0,1.6489688082122953e-7
ant,0,1,0,2,1,1,7.53404392999749e-8
ant,0,1,0,2,1,2,0.0000014765635717388222
ant,0,1,0,2,2,0,1.6489688082122953e-7
ant,0,1,0,2,2,1,7.53404392999749e-8
ant,0,1,0,2,2,2,0.0000014765635717388222
ant,0,1,1,0,0,0,0.0000018925778855885225
ant,0,1,1,0,0,1,8.681009305772228e-7
ant,0,1,1,0,0,2,0.000016832540763289566
ant,0,1,1,0,1,0,0.0000018925778855885225
ant,0,1,1,0,1,1,8.681009305772228e-7
ant,0,1,1,0,1,2,0.000016832540763289566
ant,0,1,1,0,2,0,0.0000018925778855885225
ant,0,1,1,0,2,1,8.681009305772228e-7
ant,0,1,1,0,2,2,0.000016832540763289566
ant,0,1,1,1,0,0,7.453645086216228e-7
ant,0,1,1,1,0,1,3.4425024986825195e-7
ant,0,1,1,1,0,2,0.00000654958167698058
ant,0,1,1,1,1,0,7.453645086216228e-7
ant,0,1,1,1,1,1,3.4425024986825195e-7
ant,0,1,1,1,1,2,0.00000654958167698058
ant,0,1,1,1,2,0,7.453645086216228e-7
ant,0,1,1,1,2,1,3.4425024986825195e-7
ant,0,1,1,1,2,2,0.00000654958167698058
ant,0,1,1,2,0,0,1.6489688082122953e-7
ant,0,1,1,2,0,1,7.53404392999749e-8
ant,0,1,1,2,0,2,0.0000014765635717388222
ant,0,1,1,2,1,0,1.6489688082122953e-7
ant,0,1,1,2,1,1,7.53404392999749e-8
ant,0,1,1,2,1,2,0.0000014765635717388222
ant,0,1,1,2,2,0,1.6489688082122953e-7
ant,0,1,1,2,2,1,7.53404392999749e-8
ant,0,1,1,2,2,2,0.0000014765635717388222
ant,0,1,2,0,0,0,0.0000018925778855885225
ant,0,1,2,0,0,1,8.681009305772228e-7
ant,0,1,2,0,0,2,0.000016832540763289566
ant,0,1,2,0,1,0,0.0000018925778855885225
ant,0,1,2,0,1,1,8.681009305772228e-7
ant,0,1,2,0,1,2,0.000016832540763289566
ant,0,1,2,0,2,0,0.0000018925778855885225
ant,0,1,2,0,2,1,8.681009305772228e-7
ant,0,1,2,0,2,2,0.000016832540763289566
ant,0,1,2,1,0,0,7.453645086216228e-7
ant,0,1,2,1,0,1,3.4425024986825195e-7
ant,0,1,2,1,0,2,0.00000654958167698058
ant,0,1,2,1,1,0,7.453645086216228e-7
ant,0,1,2,1,1,1,3.4425024986825195e-7
ant,0,1,2,1,1,2,0.00000654958167698058
ant,0,1,2,1,2,0,7.453645086216228e-7
ant,0,1,2,1,2,1,3.4425024986825195e-7
ant,0,1,2,1,2,2,0.00000654958167698058
ant,0,1,2,2,0,0,1.6489688082122953e-7
ant,0,1,2,2,0,1,7.53404392999749e-8
ant,0,1,2,2,0,2,0.0000014765635717388222
ant,0,1,2,2,1,0,1.6489688082122953e-7
ant,0,1,2,2,1,1,7.53404392999749e-8
ant,0,1,2,2,1,2,0.0000014765635717388222
ant,0,1,2,2,2,0,1.6489688082122953e-7
ant,0,1,2,2,2,1,7.53404392999749e-8
ant,0,1,2,2,2,2,0.0000014765635717388222
ant,0,2,0,0,0,0,0.0000018925778855885225
ant,0,2,0,0,0,1,8.681009305772228e-7
ant,0,2,0,0,0,2,0.000016832540763289566
ant,0,2,0,0,1,0,0.0000018925778855885225
ant,0,2,0,0,1,1,8.681009305772228e-7
ant,0,2,0,0,1,2,0.000016832540763289566
ant,0,2,0,0,2,0,0.0000018925778855885225
ant,0,2,0,0,2,1,8.681009305772228e-7
ant,0,2,0,0,2,2,0.000016832540763289566
ant,0,2,0,1,0,0,7.453645086216228e-7
ant,0,2,0,1,0,1,3.4425024986825195e-7
ant,0,2,0,1,0,2,0.00000654958167698058
ant,0,2,0,1,1,0,7.453645086216228e-7
ant,0,2,0,1,1,1,3.4425024986825195e-7
ant,0,2,0,1,1,2,0.00000654958167698058
ant,0,2,0,1,2,0,7.453645086216228e-7
ant,0,2,0,1,2,1,3.4425024986825195e-7
ant,0,2,0,1,2,2,0.00000654958167698058
ant,0,2,0,2,0,0,1.6489688082122953e-7
ant,0,2,0,2,0,1,7.53404392999749e-8
ant,0,2,0,2,0,2,0.0000014765635717388222
ant,0,2,0,2,1,0,1.6489688082122953e-7
ant,0,2,0,2,1,1,7.53404392999749e-8
ant,0,2,0,2,1,2,0.0000014765635717388222
ant,0,2,0,2,2,0,1.6489688082122953e-7
ant,0,2,0,2,2,1,7.53404392999749e-8
ant,0,2,0,2,2,2,0.0000014765635717388222
ant,0,2,1,0,0,0,0.0000018925778855885225
ant,0,2,1,0,0,1,8.681009305772228e-7
ant,0,2,1,0,0,2,0.000016832540763289566
ant,0,2,1,0,1,0,0.0000018925778855885225
ant,0,2,1,0,1,1,8.681009305772228e-7
ant,0,2,1,0,1,2,0.000016832540763289566
ant,0,2,1,0,2,0,0.0000018925778855885225
ant,0,2,1,0,2,1,8.681009305772228e-7
ant,0,2,1,0,2,2,0.000016832540763289566
ant,0,2,1,1,0,0,7.453645086216228e-7
ant,0,2,1,1,0,1,3.4425024986825195e-7
ant,0,2,1,1,0,2,0.00000654958167698058
ant,0,2,1,1,1,0,7.453645086216228e-7
ant,0,2,1,1,1,1,3.4425024986825195e-7
ant,0,2,1,1,1,2,0.00000654958167698058
ant,0,2,1,1,2,0,7.453645086216228e-7
ant,0,2,1,1,2,1,3.4425024986825195e-7
ant,0,2,1,1,2,2,0.00000654958167698058
ant,0,2,1,2,0,0,1.6489688082122953e-7
ant,0,2,1,2,0,1,7.53404392999749e-8
ant,0,2,1,2,0,2,0.0000014765635717388222
ant,0,2,1,2,1,0,1.6489688082122953e-7
ant,0,2,1,2,1,1,7.53404392999749e-8
ant,0,2,1,2,1,2,0.0000014765635717388222
ant,0,2,1,2,2,0,1.6489688082122953e-7
ant,0,2,1,2,2,1,7.53404392999749e-8
ant,0,2,1,2,2,2,0.0000014765635717388222
ant,0,2,2,0,0,0,0.0000018925778855885225
ant,0,2,2,0,0,1,8.681009305772228e-7
ant,0,2,2,0,0,2,0.000016832540763289566
ant,0,2,2,0,1,0,0.0000018925778855885225
ant,0,2,2,0,1,1,8.681009305772228e-7
ant,0,2,2,0,1,2,0.000016832540763289566
ant,0,2,2,0,2,0,0.0000018925778855885225
ant,0,2,2,0,2,1,8.681009305772228e-7
ant,0,2,2,0,2,2,0.000016832540763289566
ant,0,2,2,1,0,0,7.453645086216228e-7
ant,0,2,2,1,0,1,3.4425024986825195e-7
ant,0,2,2,1,0,2,0.00000654958167698058
ant,0,2,2,1,1,0,7.453645086216228e-7
ant,0,2,2,1,1,1,3.4425024986825195e-7
ant,0,2,2,1,1,2,0.00000654958167698058
ant,0,2,2,1,2,0,7.453645086216228e-7
ant,0,2,2,1,2,1,3.4425024986825195e-7
ant,0,2,2,1,2,2,0.00000654958167698058
ant,0,2,2,2,0,0,1.6489688082122953e-7
ant,0,2,2,2,0,1,7.53404392999749e-8
ant,0,2,2,2,0,2,0.0000014765635717388222
ant,0,2,2,2,1,0,1.6489688082122953e-7
ant,0,2,2,2,1,1,7.53404392999749e-8
ant,0,2,2,2,1,2,0.0000014765635717388222
ant,0,2,2,2,2,0,1.6489688082122953e-7
ant,0,2,2,2,2,1,7.53404392999749e-8
ant,0,2,2,2,2,2,0.0000014765635717388222
ant,1,0,0,0,0,0,0.0000018925778855885225
ant,1,0,0,0,0,1,8.681009305772228e-7
ant,1,0,0,0,0,2,0.000016832540763289566
ant,1,0,0,0,1,0,0.0000018925778855885225
ant,1,0,0,0,1,1,8.681009305772228e-7
ant,1,0,0,0,1,2,0.000016832540763289566
ant,1,0,0,0,2,0,0.0000018925778855885225
ant,1,0,0,0,2,1,8.681009305772228e-7
ant,1,0,0,0,2,2,0.000016832540763289566
ant,1,0,0,1,0,0,7.453645086216228e-7
ant,1,0,0,1,0,1,3.4425024986825195e-7
ant,1,0,0,1,0,2,0.00000654958167698058
ant,1,0,0,1,1,0,7.453645086216228e-7
ant,1,0,0,1,1,1,3.4425024986825195e-7
ant,1,0,0,1,1,2,0.00000654958167698058
ant,1,0,0,1,2,0,7.453645086216228e-7
ant,1,0,0,1,2,1,3.4425024986825195e-7
ant,1,0,0,1,2,2,0.00000654958167698058
ant,1,0,0,2,0,0,1.6489688082122953e-7
ant,1,0,0,2,0,1,7.53404392999749e-8
ant,1,0,0,2,0,2,0.0000014765635717388222
ant,1,0,0,2,1,0,1.6489688082122953e-7
ant,1,0,0,2,1,1,7.53404392999749e-8
ant,1,0,0,2,1,2,0.0000014765635717388222
ant,1,0,0,2,2,0,1.6489688082122953e-7
ant,1,0,0,2,2,1,7.53404392999749e-8
ant,1,0,0,2,2,2,0.0000014765635717388222
ant,1,0,1,0,0,0,0.0000018925778855885225
ant,1,0,1,0,0,1,8.681009305772228e-7
ant,1,0,1,0,0,2,0.000016832540763289566
ant,1,0,1,0,1,0,0.0000018925778855885225
ant,1,0,1,0,1,1,8.681009305772228e-7
ant,1,0,1,0,1,2,0.000016832540763289566
ant,1,0,1,0,2,0,0.0000018925778855885225
ant,1,0,1,0,2,1,8.681009305772228e-7
ant,1,0,1,0,2,2,0.000016832540763289566
ant,1,0,1,1,0,0,7.453645086216228e-7
ant,1,0,1,1,0,1,3.4425024986825195e-7
ant,1,0,1,1,0,2,0.00000654958167698058
ant,1,0,1,1,1,0,7.453645086216228e-7
ant,1,0,1,1,1,1,3.4425024986825195e-7
ant,1,0,1,1,1,2,0.00000654958167698058
ant,1,0,1,1,2,0,7.453645086216228e-7
ant,1,0,1,1,2,1,3.4425024986825195e-7
ant,1,0,1,1,2,2,0.00000654958167698058
ant,1,0,1,2,0,0,1.6489688082122953e-7
ant,1,0,1,2,0,1,7.53404392999749e-8
ant,1,0,1,2,0,2,0.0000014765635717388222
ant,1,0,1,2,1,0,1.6489688082122953e-7
ant,1,0,1,2,1,1,7.53404392999749e-8
ant,1,0,1,2,1,2,0.0000014765635717388222
ant,1,0,1,2,2,0,1.6489688082122953e-7
ant,1,0,1,2,2,1,7.53404392999749e-8
ant,1,0,1,2,2,2,0.0000014765635717388222
ant,1,0,2,0,0,0,0.0000018925778855885225
ant,1,0,2,0,0,1,8.681009305772228e-7
ant,1,0,2,0,0,2,0.000016832540763289566
ant,1,0,2,0,1,0,0.0000018925778855885225
ant,1,0,2,0,1,1,8.681009305772228e-7
ant,1,0,2,0,1,2,0.000016832540763289566
ant,1,0,2,0,2,0,0.0000018925778855885225
ant,1,0,2,0,2,1,8.681009305772228e-7
ant,1,0,2,0,2,2,0.000016832540763289566
ant,1,0,2,1,0,0,7.453645086216228e-7
ant,1,0,2,1,0,1,3.4425024986825195e-7
ant,1,0,2,1,0,2,0.00000654958167698058
ant,1,0,2,1,1,0,7.453645086216228e-7
ant,1,0,2,1,1,1,3.4425024986825195e-7
ant,1,0,2,1,1,2,0.00000654958167698058
ant,1,0,2,1,2,0,7.453645086216228e-7
ant,1,0,2,1,2,1,3.4425024986825195e-7
ant,1,0,2,1,2,2,0.00000654958167698058
ant,1,0,2,2,0,0,1.6489688082122953e-7
ant,1,0,2,2,0,1,7.53404392999749e-8
ant,1,0,2,2,0,2,0.0000014765635717388222
ant,1,0,2,2,1,0,1.6489688082122953e-7
ant,1,0,2,2,1,1,7.53404392999749e-8
ant,1,0,2,2,1,2,0.0000014765635717388222
ant,1,0,2,2,2,0,1.6489688082122953e-7
ant,1,0,2,2,2,1,7.53404392999749e-8
ant,1,0,2,2,2,2,0.0000014765635717388222
ant,1,1,0,0,0,0,0.0000018925778855885225
ant,1,1,0,0,0,1,8.681009305772228e-7
ant,1,1,0,0,0,2,0.000016832540763289566
ant,1,1,0,0,1,0,0.0000018925778855885225
ant,1,1,0,0,1,1,8.681009305772228e-7
ant,1,1,0,0,1,2,0.000016832540763289566
ant,1,1,0,0,2,0,0.0000018925778855885225
ant,1,1,0,0,2,1,8.681009305772228e-7
ant,1,1,0,0,2,2,0.000016832540763289566
ant,1,1,0,1,0,0,7.453645086216228e-7
ant,1,1,0,1,0,1,3.4425024986825195e-7
ant,1,1,0,1,0,2,0.00000654958167698058
ant,1,1,0,1,1,0,7.453645086216228e-7
ant,1,1,0,1,1,1,3.4425024986825195e-7
ant,1,1,0,1,1,2,0.00000654958167698058
ant,1,1,0,1,2,0,7.453645086216228e-7
ant,1,1,0,1,2,1,3.4425024986825195e-7
ant,1,1,0,1,2,2,0.00000654958167698058
ant,1,1,0,2,0,0,1.6489688082122953e-7
ant,1,1,0,2,0,1,7.53404392999749e-8
ant,1,1,0,2,0,2,0.0000014765635717388222
ant,1,1,0,2,1,0,1.6489688082122953e-7
ant,1,1,0,2,1,1,7.53404392999749e-8
ant,1,1,0,2,1,2,0.0000014765635717388222
ant,1,1,0,2,2,0,1.6489688082122953e-7
ant,1,1,0,2,2,1,7.53404392999749e-8
ant,1,1,0,2,2,2,0.0000014765635717388222
ant,1,1,1,0,0,0,0.0000018925778855885225
ant,1,1,1,0,0,1,8.681009305772228e-7
ant,1,1,1,0,0,2,0.000016832540763289566
ant,1,1,1,0,1,0,0.0000018925778855885225
ant,1,1,1,0,1,1,8.681009305772228e-7
ant,1,1,1,0,1,2,0.000016832540763289566
ant,1,1,1,0,2,0,0.0000018925778855885225
ant,1,1,1,0,2,1,8.681009305772228e-7
ant,1,1,1,0,2,2,0.000016832540763289566
ant,1,1,1,1,0,0,7.453645086216228e-7
ant,1,1,1,1,0,1,3.4425024986825195e-7
ant,1,1,1,1,0,2,0.00000654958167698058
ant,1,1,1,1,1,0,7.453645086216228e-7
ant,1,1,1,1,1,1,3.4425024986825195e-7
ant,1,1,1,1,1,2,0.00000654958167698058
ant,1,1,1,1,2,0,7.453645086216228e-7
ant,1,1,1,1,2,1,3.4425024986825195e-7
ant,1,1,1,1,2,2,0.00000654958167698058
ant,1,1,1,2,0,0,1.6489688082122953e-7
ant,1,1,1,2,0,1,7.53404392999749e-8
ant,1,1,1,2,0,2,0.0000014765635717388222
ant,1,1,1,2,1,0,1.6489688082122953e-7
ant,1,1,1,2,1,1,7.53404392999749e-8
ant,1,1,1,2,1,2,0.0000014765635717388222
ant,1,1,1,2,2,0,1.6489688082122953e-7
ant,1,1,1,2,2,1,7.53404392999749e-8
ant,1,1,1,2,2,2,0.0000014765635717388222
ant,1,1,2,0,0,0,0.0000018925778855885225
ant,1,1,2,0,0,1,8.681009305772228e-7
ant,1,1,2,0,0,2,0.000016832540763289566
ant,1,1,2,0,1,0,0.0000018925778855885225
ant,1,1,2,0,1,1,8.681009305772228e-7
ant,1,1,2,0,1,2,0.000016832540763289566
ant,1,1,2,0,2,0,0.0000018925778855885225
ant,1,1,2,0,2,1,8.681009305772228e-7
ant,1,1,2,0,2,2,0.000016832540763289566
ant,1,1,2,1,0,0,7.453645086216228e-7
ant,1,1,2,1,0,1,3.4425024986825195e-7
ant,1,1,2,1,0,2,0.00000654958167698058
ant,1,1,2,1,1,0,7.453645086216228e-7
ant,1,1,2,1,1,1,3.4425024986825195e-7
ant,1,1,2,1,1,2,0.00000654958167698058
ant,1,1,2,1,2,0,7.453645086216228e-7
ant,1,1,2,1,2,1,3.4425024986825195e-7
ant,1,1,2,1,2,2,0.00000654958167698058
ant,1,1,2,2,0,0,1.6489688082122953e-7
ant,1,1,2,2,0,1,7.53404392999749e-8
ant,1,1,2,2,0,2,0.0000014765635717388222
ant,1,1,2,2,1,0,1.6489688082122953e-7
ant,1,1,2,2,1,1,7.53404392999749e-8
ant,1,1,2,2,1,2,0.0000014765635717388222
ant,1,1,2,2,2,0,1.6489688082122953e-7
ant,1,1,2,2,2,1,7.53404392999749e-8
ant,1,1,2,2,2,2,0.0000014765635717388222
ant,1,2,0,0,0,0,0.0000018925778855885225
ant,1,2,0,0,0,1,8.681009305772228e-7
ant,1,2,0,0,0,2,0.000016832540763289566
ant,1,2,0,0,1,0,0.0000018925778855885225
ant,1,2,0,0,1,1,8.681009305772228e-7
ant,1,2,0,0,1,2,0.000016832540763289566
ant,1,2,0,0,2,0,0.0000018925778855885225
ant,1,2,0,0,2,1,8.681009305772228e-7
ant,1,2,0,0,2,2,0.000016832540763289566
ant,1,2,0,1,0,0,7.453645086216228e-7
ant,1,2,0,1,0,1,3.4425024986825195e-7
ant,1,2,0,1,0,2,0.00000654958167698058
ant,1,2,0,1,1,0,7.453645086216228e-7
ant,1,2,0,1,1,1,3.4425024986825195e-7
ant,1,2,0,1,1,2,0.00000654958167698058
ant,1,2,0,1,2,0,7.453645086216228e-7
ant,1,2,0,1,2,1,3.4425024986825195e-7
ant,1,2,0,1,2,2,0.00000654958167698058
ant,1,2,0,2,0,0,1.6489688082122953e-7
ant,1,2,0,2,0,1,7.53404392999749e-8
ant,1,2,0,2,0,2,0.0000014765635717388222
ant,1,2,0,2,1,0,1.6489688082122953e-7
ant,1,2,0,2,1,1,7.53404392999749e-8
ant,1,2,0,2,1,2,0.0000014765635717388222
ant,1,2,0,2,2,0,1.6489688082122953e-7
ant,1,2,0,2,2,1,7.53404392999749e-8
ant,1,2,0,2,2,2,0.0000014765635717388222
ant,1,2,1,0,0,0,0.0000018925778855885225
ant,1,2,1,0,0,1,8.681009305772228e-7
ant,1,2,1,0,0,2,0.000016832540763289566
ant,1,2,1,0,1,0,0.0000018925778855885225
ant,1,2,1,0,1,1,8.681009305772228e-7
ant,1,2,1,0,1,2,0.000016832540763289566
ant,1,2,1,0,2,0,0.0000018925778855885225
ant,1,2,1,0,2,1,8.681009305772228e-7
ant,1,2,1,0,2,2,0.000016832540763289566
ant,1,2,1,1,0,0,7.453645086216228e-7
ant,1,2,1,1,0,1,3.4425024986825195e-7
ant,1,2,1,1,0,2,0.00000654958167698058
ant,1,2,1,1,1,0,7.453645086216228e-7
ant,1,2,1,1,1,1,3.4425024986825195e-7
ant,1,2,1,1,1,2,0.00000654958167698058
ant,1,2,1,1,2,0,7.453645086216228e-7
ant,1,2,1,1,2,1,3.4425024986825195e-7
ant,1,2,1,1,2,2,0.00000654958167698058
ant,1,2,1,2,0,0,1.6489688082122953e-7
ant,1,2,1,2,0,1,7.53404392999749e-8
ant,1,2,1,2,0,2,0.0000014765635717388222
ant,1,2,1,2,1,0,1.6489688082122953e-7
ant,1,2,1,2,1,1,7.53404392999749e-8
ant,1,2,1,2,1,2,0.0000014765635717388222
ant,1,2,1,2,2,0,1.6489688082122953e-7
ant,1,2,1,2,2,1,7.53404392999749e-8
ant,1,2,1,2,2,2,0.0000014765635717388222
ant,1,2,2,0,0,0,0.0000018925778855885225
ant,1,2,2,0,0,1,8.681009305772228e-7
ant,1,2,2,0,0,2,0.000016832540763289566
ant,1,2,2,0,1,0,0.0000018925778855885225
ant,1,2,2,0,1,1,8.681009305772228e-7
ant,1,2,2,0,1,2,0.000016832540763289566
ant,1,2,2,0,2,0,0.0000018925778855885225
ant,1,2,2,0,2,1,8.681009305772228e-7
ant,1,2,2,0,2,2,0.000016832540763289566
ant,1,2,2,1,0,0,7.453645086216228e-7
ant,1,2,2,1,0,1,3.4425024986825195e-7
ant,1,2,2,1,0,2,0.00000654958167698058
ant,1,2,2,1,1,0,7.453645086216228e-7
ant,1,2,2,1,1,1,3.4425024986825195e-7
ant,1,2,2,1,1,2,0.00000654958167698058
ant,1,2,2,1,2,0,7.453645086216228e-7
ant,1,2,2,1,2,1,3.4425024986825195e-7
ant,1,2,2,1,2,2,0.00000654958167698058
ant,1,2,2,2,0,0,1.6489688082122953e-7
ant,1,2,2,2,0,1,7.53404392999749e-8
ant,1,2,2,2,0,2,0.0000014765635717388222
ant,1,2,2,2,1,0,1.6489688082122953e-7
ant,1,2,2,2,1,1,7.53404392999749e-8
ant,1,2,2,2,1,2,0.0000014765635717388222
ant,1,2,2,2,2,0,1.6489688082122953e-7
ant,1,2,2,2,2,1,7.53404392999749e-8
ant,1,2,2,2,2,2,0.0000014765635717388222
ant,2,0,0,0,0,0,0.0000018925778855885225
ant,2,0,0,0,0,1,8.681009305772228e-7
ant,2,0,0,0,0,2,0.000016832540763289566
ant,2,0,0,0,1,0,0.0000018925778855885225
ant,2,0,0,0,1,1,8.681009305772228e-7
ant,2,0,0,0,1,2,0.000016832540763289566
ant,2,0,0,0,2,0,0.0000018925778855885225
ant,2,0,0,0,2,1,8.681009305772228e-7
ant,2,0,0,0,2,2,0.000016832540763289566
ant,2,0,0,1,0,0,7.453645086216228e-7
ant,2,0,0,1,0,1,3.4425024986825195e-7
ant,2,0,0,1,0,2,0.00000654958167698058
ant,2,0,0,1,1,0,7.453645086216228e-7
ant,2,0,0,1,1,1,3.4425024986825195e-7
ant,2,0,0,1,1,2,0.00000654958167698058
ant,2,0,0,1,2,0,7.453645086216228e-7
ant,2,0,0,1,2,1,3.4425024986825195e-7
ant,2,0,0,1,2,2,0.00000654958167698058
ant,2,0,0,2,0,0,1.6489688082122953e-7
ant,2,0,0,2,0,1,7.53404392999749e-8
ant,2,0,0,2,0,2,0.0000014765635717388222
ant,2,0,0,2,1,0,1.6489688082122953e-7
ant,2,0,0,2,1,1,7.53404392999749e-8
ant,2,0,0,2,1,2,0.0000014765635717388222
ant,2,0,0,2,2,0,1.6489688082122953e-7
ant,2,0,0,2,2,1,7.53404392999749e-8
ant,2,0,0,2,2,2,0.0000014765635717388222
ant,2,0,1,0,0,0,0.0000018925778855885225
ant,2,0,1,0,0,1,8.681009305772228e-7
ant,2,0,1,0,0,2,0.000016832540763289566
ant,2,0,1,0,1,0,0.0000018925778855885225
ant,2,0,1,0,1,1,8.681009305772228e-7
ant,2,0,1,0,1,2,0.000016832540763289566
ant,2,0,1,0,2,0,0.0000018925778855885225
ant,2,0,1,0,2,1,8.681009305772228e-7
ant,2,0,1,0,2,2,0.000016832540763289566
ant,2,0,1,1,0,0,7.453645086216228e-7
ant,2,0,1,1,0,1,3.4425024986825195e-7
ant,2,0,1,1,0,2,0.00000654958167698058
ant,2,0,1,1,1,0,7.453645086216228e-7
ant,2,0,1,1,1,1,3.4425024986825195e-7
ant,2,0,1,1,1,2,0.00000654958167698058
ant,2,0,1,1,2,0,7.453645086216228e-7
ant,2,0,1,1,2,1,3.4425024986825195e-7
ant,2,0,1,1,2,2,0.00000654958167698058
ant,2,0,1,2,0,0,1.6489688082122953e-7
ant,2,0,1,2,0,1,7.53404392999749e-8
ant,2,0,1,2,0,2,0.0000014765635717388222
ant,2,0,1,2,1,0,1.6489688082122953e-7
ant,2,0,1,2,1,1,7.53404392999749e-8
