category,hard,big,proud,fast,fierce,majestic,strong,prob
eagle,0,0,0,1,2,0,0,8.72166071987434e-7
eagle,0,0,0,1,2,0,1,8.72166071987434e-7
eagle,0,0,0,1,2,0,2,8.72166071987434e-7
eagle,0,0,0,1,2,1,0,0.0000019089650415452825
eagle,0,0,0,1,2,1,1,0.0000019089650415452825
eagle,0,0,0,1,2,1,2,0.0000019089650415452825
eagle,0,0,0,1,2,2,0,0.0000024098847259937598
eagle,0,0,0,1,2,2,1,0.0000024098847259937598
eagle,0,0,0,1,2,2,2,0.0000024098847259937598
eagle,0,0,0,2,0,0,0,8.72166071987434e-7
eagle,0,0,0,2,0,0,1,8.72166071987434e-7
eagle,0,0,0,2,0,0,2,8.72166071987434e-7
eagle,0,0,0,2,0,1,0,0.0000019089650415452825
eagle,0,0,0,2,0,1,1,0.0000019089650415452825
eagle,0,0,0,2,0,1,2,0.0000019089650415452825
eagle,0,0,0,2,0,2,0,0.0000024098847259937598
eagle,0,0,0,2,0,2,1,0.0000024098847259937598
eagle,0,0,0,2,0,2,2,0.0000024098847259937598
eagle,0,0,0,2,1,0,0,8.72166071987434e-7
eagle,0,0,0,2,1,0,1,8.72166071987434e-7
eagle,0,0,0,2,1,0,2,8.72166071987434e-7
eagle,0,0,0,2,1,1,0,0.0000019089650415452825
eagle,0,0,0,2,1,1,1,0.0000019089650415452825
eagle,0,0,0,2,1,1,2,0.0000019089650415452825
eagle,0,0,0,2,1,2,0,0.0000024098847259937598
eagle,0,0,0,2,1,2,1,0.0000024098847259937598
eagle,0,0,0,2,1,2,2,0.0000024098847259937598
eagle,0,0,0,2,2,0,0,8.72166071987434e-7
eagle,0,0,0,2,2,0,1,8.72166071987434e-7
eagle,0,0,0,2,2,0,2,8.72166071987434e-7
eagle,0,0,0,2,2,1,0,0.0000019089650415452825
eagle,0,0,0,2,2,1,1,0.0000019089650415452825
eagle,0,0,0,2,2,1,2,0.0000019089650415452825
eagle,0,0,0,2,2,2,0,0.0000024098847259937598
eagle,0,0,0,2,2,2,1,0.0000024098847259937598
eagle,0,0,0,2,2,2,2,0.0000024098847259937598
eagle,0,0,1,0,0,0,0,8.72166071987434e-7
eagle,0,0,1,0,0,0,1,8.72166071987434e-7
eagle,0,0,1,0,0,0,2,8.72166071987434e-7
eagle,0,0,1,0,0,1,0,0.0000019089650415452825
eagle,0,0,1,0,0,1,1,0.0000019089650415452825
eagle,0,0,1,0,0,1,2,0.0000019089650415452825
eagle,0,0,1,0,0,2,0,0.0000024098847259937598
eagle,0,0,1,0,0,2,1,0.0000024098847259937598
eagle,0,0,1,0,0,2,2,0.0000024098847259937598
eagle,0,0,1,0,1,0,0,8.72166071987434e-7
eagle,0,0,1,0,1,0,1,8.72166071987434e-7
eagle,0,0,1,0,1,0,2,8.72166071987434e-7
eagle,0,0,1,0,1,1,0,0.0000019089650415452825
eagle,0,0,1,0,1,1,1,0.0000019089650415452825
eagle,0,0,1,0,1,1,2,0.0000019089650415452825
eagle,0,0,1,0,1,2,0,0.0000024098847259937598
eagle,0,0,1,0,1,2,1,0.0000024098847259937598
eagle,0,0,1,0,1,2,2,0.0000024098847259937598
eagle,0,0,1,0,2,0,0,8.72166071987434e-7
eagle,0,0,1,0,2,0,1,8.72166071987434e-7
eagle,0,0,1,0,2,0,2,8.72166071987434e-7
eagle,0,0,1,0,2,1,0,0.0000019089650415452825
eagle,0,0,1,0,2,1,1,0.0000019089650415452825
eagle,0,0,1,0,2,1,2,0.0000019089650415452825
eagle,0,0,1,0,2,2,0,0.0000024098847259937598
eagle,0,0,1,0,2,2,1,0.0000024098847259937598
eagle,0,0,1,0,2,2,2,0.0000024098847259937598
eagle,0,0,1,1,0,0,0,8.72166071987434e-7
eagle,0,0,1,1,0,0,1,8.72166071987434e-7
eagle,0,0,1,1,0,0,2,8.72166071987434e-7
eagle,0,0,1,1,0,1,0,0.0000019089650415452825
eagle,0,0,1,1,0,1,1,0.0000019089650415452825
eagle,0,0,1,1,0,1,2,0.0000019089650415452825
eagle,0,0,1,1,0,2,0,0.0000024098847259937598
eagle,0,0,1,1,0,2,1,0.0000024098847259937598
eagle,0,0,1,1,0,2,2,0.0000024098847259937598
eagle,0,0,1,1,1,0,0,8.72166071987434e-7
eagle,0,0,1,1,1,0,1,8.72166071987434e-7
eagle,0,0,1,1,1,0,2,8.72166071987434e-7
eagle,0,0,1,1,1,1,0,0.0000019089650415452825
eagle,0,0,1,1,1,1,1,0.0000019089650415452825
eagle,0,0,1,1,1,1,2,0.0000019089650415452825
eagle,0,0,1,1,1,2,0,0.0000024098847259937598
eagle,0,0,1,1,1,2,1,0.0000024098847259937598
eagle,0,0,1,1,1,2,2,0.0000024098847259937598
eagle,0,0,1,1,2,0,0,8.72166071987434e-7
eagle,0,0,1,1,2,0,1,8.72166071987434e-7
eagle,0,0,1,1,2,0,2,8.72166071987434e-7
eagle,0,0,1,1,2,1,0,0.0000019089650415452825
eagle,0,0,1,1,2,1,1,0.0000019089650415452825
eagle,0,0,1,1,2,1,2,0.0000019089650415452825
eagle,0,0,1,1,2,2,0,0.0000024098847259937598
eagle,0,0,1,1,2,2,1,0.0000024098847259937598
eagle,0,0,1,1,2,2,2,0.0000024098847259937598
eagle,0,0,1,2,0,0,0,8.72166071987434e-7
eagle,0,0,1,2,0,0,1,8.72166071987434e-7
eagle,0,0,1,2,0,0,2,8.72166071987434e-7
eagle,0,0,1,2,0,1,0,0.0000019089650415452825
eagle,0,0,1,2,0,1,1,0.0000019089650415452825
eagle,0,0,1,2,0,1,2,0.0000019089650415452825
eagle,0,0,1,2,0,2,0,0.0000024098847259937598
eagle,0,0,1,2,0,2,1,0.0000024098847259937598
eagle,0,0,1,2,0,2,2,0.0000024098847259937598
eagle,0,0,1,2,1,0,0,8.72166071987434e-7
eagle,0,0,1,2,1,0,1,8.72166071987434e-7
eagle,0,0,1,2,1,0,2,8.72166071987434e-7
eagle,0,0,1,2,1,1,0,0.0000019089650415452825
eagle,0,0,1,2,1,1,1,0.0000019089650415452825
eagle,0,0,1,2,1,1,2,0.0000019089650415452825
eagle,0,0,1,2,1,2,0,0.0000024098847259937598
eagle,0,0,1,2,1,2,1,0.0000024098847259937598
eagle,0,0,1,2,1,2,2,0.0000024098847259937598
eagle,0,0,1,2,2,0,0,8.72166071987434e-7
eagle,0,0,1,2,2,0,1,8.72166071987434e-7
eagle,0,0,1,2,2,0,2,8.72166071987434e-7
eagle,0,0,1,2,2,1,0,0.0000019089650415452825
eagle,0,0,1,2,2,1,1,0.0000019089650415452825
eagle,0,0,1,2,2,1,2,0.0000019089650415452825
eagle,0,0,1,2,2,2,0,0.0000024098847259937598
eagle,0,0,1,2,2,2,1,0.0000024098847259937598
eagle,0,0,1,2,2,2,2,0.0000024098847259937598
eagle,0,0,2,0,0,0,0,8.72166071987434e-7
eagle,0,0,2,0,0,0,1,8.72166071987434e-7
eagle,0,0,2,0,0,0,2,8.72166071987434e-7
eagle,0,0,2,0,0,1,0,0.0000019089650415452825
eagle,0,0,2,0,0,1,1,0.0000019089650415452825
eagle,0,0,2,0,0,1,2,0.0000019089650415452825
eagle,0,0,2,0,0,2,0,0.0000024098847259937598
eagle,0,0,2,0,0,2,1,0.0000024098847259937598
eagle,0,0,2,0,0,2,2,0.0000024098847259937598
eagle,0,0,2,0,1,0,0,8.72166071987434e-7
eagle,0,0,2,0,1,0,1,8.72166071987434e-7
eagle,0,0,2,0,1,0,2,8.72166071987434e-7
eagle,0,0,2,0,1,1,0,0.0000019089650415452825
eagle,0,0,2,0,1,1,1,0.0000019089650415452825
eagle,0,0,2,0,1,1,2,0.0000019089650415452825
eagle,0,0,2,0,1,2,0,0.0000024098847259937598
eagle,0,0,2,0,1,2,1,0.0000024098847259937598
eagle,0,0,2,0,1,2,2,0.0000024098847259937598
eagle,0,0,2,0,2,0,0,8.72166071987434e-7
eagle,0,0,2,0,2,0,1,8.72166071987434e-7
eagle,0,0,2,0,2,0,2,8.72166071987434e-7
eagle,0,0,2,0,2,1,0,0.0000019089650415452825
eagle,0,0,2,0,2,1,1,0.0000019089650415452825
eagle,0,0,2,0,2,1,2,0.0000019089650415452825
eagle,0,0,2,0,2,2,0,0.0000024098847259937598
eagle,0,0,2,0,2,2,1,0.0000024098847259937598
eagle,0,0,2,0,2,2,2,0.0000024098847259937598
eagle,0,0,2,1,0,0,0,8.72166071987434e-7
eagle,0,0,2,1,0,0,1,8.72166071987434e-7
eagle,0,0,2,1,0,0,2,8.72166071987434e-7
eagle,0,0,2,1,0,1,0,0.0000019089650415452825
eagle,0,0,2,1,0,1,1,0.0000019089650415452825
eagle,0,0,2,1,0,1,2,0.0000019089650415452825
eagle,0,0,2,1,0,2,0,0.0000024098847259937598
eagle,0,0,2,1,0,2,1,0.0000024098847259937598
eagle,0,0,2,1,0,2,2,0.0000024098847259937598
eagle,0,0,2,1,1,0,0,8.72166071987434e-7
eagle,0,0,2,1,1,0,1,8.72166071987434e-7
eagle,0,0,2,1,1,0,2,8.72166071987434e-7
eagle,0,0,2,1,1,1,0,0.0000019089650415452825
eagle,0,0,2,1,1,1,1,0.0000019089650415452825
eagle,0,0,2,1,1,1,2,0.0000019089650415452825
eagle,0,0,2,1,1,2,0,0.0000024098847259937598
eagle,0,0,2,1,1,2,1,0.0000024098847259937598
eagle,0,0,2,1,1,2,2,0.0000024098847259937598
eagle,0,0,2,1,2,0,0,8.72166071987434e-7
eagle,0,0,2,1,2,0,1,8.72166071987434e-7
eagle,0,0,2,1,2,0,2,8.72166071987434e-7
eagle,0,0,2,1,2,1,0,0.0000019089650415452825
eagle,0,0,2,1,2,1,1,0.0000019089650415452825
eagle,0,0,2,1,2,1,2,0.0000019089650415452825
eagle,0,0,2,1,2,2,0,0.0000024098847259937598
eagle,0,0,2,1,2,2,1,0.0000024098847259937598
eagle,0,0,2,1,2,2,2,0.0000024098847259937598
eagle,0,0,2,2,0,0,0,8.72166071987434e-7
eagle,0,0,2,2,0,0,1,8.72166071987434e-7
eagle,0,0,2,2,0,0,2,8.72166071987434e-7
eagle,0,0,2,2,0,1,0,0.0000019089650415452825
eagle,0,0,2,2,0,1,1,0.0000019089650415452825
eagle,0,0,2,2,0,1,2,0.0000019089650415452825
eagle,0,0,2,2,0,2,0,0.0000024098847259937598
eagle,0,0,2,2,0,2,1,0.0000024098847259937598
eagle,0,0,2,2,0,2,2,0.0000024098847259937598
eagle,0,0,2,2,1,0,0,8.72166071987434e-7
eagle,0,0,2,2,1,0,1,8.72166071987434e-7
eagle,0,0,2,2,1,0,2,8.72166071987434e-7
eagle,0,0,2,2,1,1,0,0.0000019089650415452825
eagle,0,0,2,2,1,1,1,0.0000019089650415452825
eagle,0,0,2,2,1,1,2,0.0000019089650415452825
eagle,0,0,2,2,1,2,0,0.0000024098847259937598
eagle,0,0,2,2,1,2,1,0.0000024098847259937598
eagle,0,0,2,2,1,2,2,0.0000024098847259937598
eagle,0,0,2,2,2,0,0,8.72166071987434e-7
eagle,0,0,2,2,2,0,1,8.72166071987434e-7
eagle,0,0,2,2,2,0,2,8.72166071987434e-7
eagle,0,0,2,2,2,1,0,0.0000019089650415452825
eagle,0,0,2,2,2,1,1,0.0000019089650415452825
eagle,0,0,2,2,2,1,2,0.0000019089650415452825
eagle,0,0,2,2,2,2,0,0.0000024098847259937598
eagle,0,0,2,2,2,2,1,0.0000024098847259937598
eagle,0,0,2,2,2,2,2,0.0000024098847259937598
eagle,0,1,0,0,0,0,0,3.924699866871307e-7
eagle,0,1,0,0,0,0,1,3.924699866871307e-7
eagle,0,1,0,0,0,0,2,3.924699866871307e-7
eagle,0,1,0,0,0,1,0,8.581101500722233e-7
eagle,0,1,0,0,0,1,1,8.581101500722233e-7
eagle,0,1,0,0,0,1,2,8.581101500722233e-7
eagle,0,1,0,0,0,2,0,0.0000010839682018444682
eagle,0,1,0,0,0,2,1,0.0000010839682018444682
eagle,0,1,0,0,0,2,2,0.0000010839682018444682
eagle,0,1,0,0,1,0,0,3.924699866871307e-7
eagle,0,1,0,0,1,0,1,3.924699866871307e-7
eagle,0,1,0,0,1,0,2,3.924699866871307e-7
eagle,0,1,0,0,1,1,0,8.581101500722233e-7
eagle,0,1,0,0,1,1,1,8.581101500722233e-7
eagle,0,1,0,0,1,1,2,8.581101500722233e-7
eagle,0,1,0,0,1,2,0,0.0000010839682018444682
eagle,0,1,0,0,1,2,1,0.0000010839682018444682
eagle,0,1,0,0,1,2,2,0.0000010839682018444682
eagle,0,1,0,0,2,0,0,3.924699866871307e-7
eagle,0,1,0,0,2,0,1,3.924699866871307e-7
eagle,0,1,0,0,2,0,2,3.924699866871307e-7
eagle,0,1,0,0,2,1,0,8.581101500722233e-7
eagle,0,1,0,0,2,1,1,8.581101500722233e-7
eagle,0,1,0,0,2,1,2,8.581101500722233e-7
eagle,0,1,0,0,2,2,0,0.0000010839682018444682
eagle,0,1,0,0,2,2,1,0.0000010839682018444682
eagle,0,1,0,0,2,2,2,0.0000010839682018444682
eagle,0,1,0,1,0,0,0,3.924699866871307e-7
eagle,0,1,0,1,0,0,1,3.924699866871307e-7
eagle,0,1,0,1,0,0,2,3.924699866871307e-7
eagle,0,1,0,1,0,1,0,8.581101500722233e-7
eagle,0,1,0,1,0,1,1,8.581101500722233e-7
eagle,0,1,0,1,0,1,2,8.581101500722233e-7
eagle,0,1,0,1,0,2,0,0.0000010839682018444682
eagle,0,1,0,1,0,2,1,0.0000010839682018444682
eagle,0,1,0,1,0,2,2,0.0000010839682018444682
eagle,0,1,0,1,1,0,0,3.924699866871307e-7
eagle,0,1,0,1,1,0,1,3.924699866871307e-7
eagle,0,1,0,1,1,0,2,3.924699866871307e-7
eagle,0,1,0,1,1,1,0,8.581101500722233e-7
eagle,0,1,0,1,1,1,1,8.581101500722233e-7
eagle,0,1,0,1,1,1,2,8.581101500722233e-7
eagle,0,1,0,1,1,2,0,0.0000010839682018444682
eagle,0,1,0,1,1,2,1,0.0000010839682018444682
eagle,0,1,0,1,1,2,2,0.0000010839682018444682
eagle,0,1,0,1,2,0,0,3.924699866871307e-7
eagle,0,1,0,1,2,0,1,3.924699866871307e-7
eagle,0,1,0,1,2,0,2,3.924699866871307e-7
eagle,0,1,0,1,2,1,0,8.581101500722233e-7
eagle,0,1,0,1,2,1,1,8.581101500722233e-7
eagle,0,1,0,1,2,1,2,8.581101500722233e-7
eagle,0,1,0,1,2,2,0,0.0000010839682018444682
eagle,0,1,0,1,2,2,1,0.0000010839682018444682
eagle,0,1,0,1,2,2,2,0.0000010839682018444682
eagle,0,1,0,2,0,0,0,3.924699866871307e-7
eagle,0,1,0,2,0,0,1,3.924699866871307e-7
eagle,0,1,0,2,0,0,2,3.924699866871307e-7
eagle,0,1,0,2,0,1,0,8.581101500722233e-7
eagle,0,1,0,2,0,1,1,8.581101500722233e-7
eagle,0,1,0,2,0,1,2,8.581101500722233e-7
eagle,0,1,0,2,0,2,0,0.0000010839682018444682
eagle,0,1,0,2,0,2,1,0.0000010839682018444682
eagle,0,1,0,2,0,2,2,0.0000010839682018444682
eagle,0,1,0,2,1,0,0,3.924699866871307e-7
eagle,0,1,0,2,1,0,1,3.924699866871307e-7
eagle,0,1,0,2,1,0,2,3.924699866871307e-7
eagle,0,1,0,2,1,1,0,8.581101500722233e-7
eagle,0,1,0,2,1,1,1,8.581101500722233e-7
eagle,0,1,0,2,1,1,2,8.581101500722233e-7
eagle,0,1,0,2,1,2,0,0.0000010839682018444682
eagle,0,1,0,2,1,2,1,0.0000010839682018444682
eagle,0,1,0,2,1,2,2,0.0000010839682018444682
eagle,0,1,0,2,2,0,0,3.924699866871307e-7
eagle,0,1,0,2,2,0,1,3.924699866871307e-7
eagle,0,1,0,2,2,0,2,3.924699866871307e-7
eagle,0,1,0,2,2,1,0,8.581101500722233e-7
eagle,0,1,0,2,2,1,1,8.581101500722233e-7
eagle,0,1,0,2,2,1,2,8.581101500722233e-7
eagle,0,1,0,2,2,2,0,0.0000010839682018444682
eagle,0,1,0,2,2,2,1,0.0000010839682018444682
eagle,0,1,0,2,2,2,2,0.0000010839682018444682
eagle,0,1,1,0,0,0,0,3.924699866871307e-7
eagle,0,1,1,0,0,0,1,3.924699866871307e-7
eagle,0,1,1,0,0,0,2,3.924699866871307e-7
eagle,0,1,1,0,0,1,0,8.581101500722233e-7
eagle,0,1,1,0,0,1,1,8.581101500722233e-7
eagle,0,1,1,0,0,1,2,8.581101500722233e-7
eagle,0,1,1,0,0,2,0,0.0000010839682018444682
eagle,0,1,1,0,0,2,1,0.0000010839682018444682
eagle,0,1,1,0,0,2,2,0.0000010839682018444682
eagle,0,1,1,0,1,0,0,3.924699866871307e-7
eagle,0,1,1,0,1,0,1,3.924699866871307e-7
eagle,0,1,1,0,1,0,2,3.924699866871307e-7
eagle,0,1,1,0,1,1,0,8.581101500722233e-7
eagle,0,1,1,0,1,1,1,8.581101500722233e-7
eagle,0,1,1,0,1,1,2,8.581101500722233e-7
eagle,0,1,1,0,1,2,0,0.0000010839682018444682
eagle,0,1,1,0,1,2,1,0.0000010839682018444682
eagle,0,1,1,0,1,2,2,0.0000010839682018444682
eagle,0,1,1,0,2,0,0,3.924699866871307e-7
eagle,0,1,1,0,2,0,1,3.924699866871307e-7
eagle,0,1,1,0,2,0,2,3.924699866871307e-7
eagle,0,1,1,0,2,1,0,8.581101500722233e-7
eagle,0,1,1,0,2,1,1,8.581101500722233e-7
eagle,0,1,1,0,2,1,2,8.581101500722233e-7
eagle,0,1,1,0,2,2,0,0.0000010839682018444682
eagle,0,1,1,0,2,2,1,0.0000010839682018444682
eagle,0,1,1,0,2,2,2,0.0000010839682018444682
eagle,0,1,1,1,0,0,0,3.924699866871307e-7
eagle,0,1,1,1,0,0,1,3.924699866871307e-7
eagle,0,1,1,1,0,0,2,3.924699866871307e-7
eagle,0,1,1,1,0,1,0,8.581101500722233e-7
eagle,0,1,1,1,0,1,1,8.581101500722233e-7
eagle,0,1,1,1,0,1,2,8.581101500722233e-7
eagle,0,1,1,1,0,2,0,0.0000010839682018444682
eagle,0,1,1,1,0,2,1,0.0000010839682018444682
eagle,0,1,1,1,0,2,2,0.0000010839682018444682
eagle,0,1,1,1,1,0,0,3.924699866871307e-7
eagle,0,1,1,1,1,0,1,3.924699866871307e-7
eagle,0,1,1,1,1,0,2,3.924699866871307e-7
eagle,0,1,1,1,1,1,0,8.581101500722233e-7
eagle,0,1,1,1,1,1,1,8.581101500722233e-7
eagle,0,1,1,1,1,1,2,8.581101500722233e-7
eagle,0,1,1,1,1,2,0,0.0000010839682018444682
eagle,0,1,1,1,1,2,1,0.0000010839682018444682
eagle,0,1,1,1,1,2,2,0.0000010839682018444682
eagle,0,1,1,1,2,0,0,3.924699866871307e-7
eagle,0,1,1,1,2,0,1,3.924699866871307e-7
eagle,0,1,1,1,2,0,2,3.924699866871307e-7
eagle,0,1,1,1,2,1,0,8.581101500722233e-7
eagle,0,1,1,1,2,1,1,8.581101500722233e-7
eagle,0,1,1,1,2,1,2,8.581101500722233e-7
eagle,0,1,1,1,2,2,0,0.0000010839682018444682
eagle,0,1,1,1,2,2,1,0.0000010839682018444682
eagle,0,1,1,1,2,2,2,0.0000010839682018444682
eagle,0,1,1,2,0,0,0,3.924699866871307e-7
eagle,0,1,1,2,0,0,1,3.924699866871307e-7
eagle,0,1,1,2,0,0,2,3.924699866871307e-7
eagle,0,1,1,2,0,1,0,8.581101500722233e-7
eagle,0,1,1,2,0,1,1,8.581101500722233e-7
eagle,0,1,1,2,0,1,2,8.581101500722233e-7
eagle,0,1,1,2,0,2,0,0.0000010839682018444682
eagle,0,1,1,2,0,2,1,0.0000010839682018444682
eagle,0,1,1,2,0,2,2,0.0000010839682018444682
eagle,0,1,1,2,1,0,0,3.924699866871307e-7
eagle,0,1,1,2,1,0,1,3.924699866871307e-7
eagle,0,1,1,2,1,0,2,3.924699866871307e-7
eagle,0,1,1,2,1,1,0,8.581101500722233e-7
eagle,0,1,1,2,1,1,1,8.581101500722233e-7
eagle,0,1,1,2,1,1,2,8.581101500722233e-7
eagle,0,1,1,2,1,2,0,0.0000010839682018444682
eagle,0,1,1,2,1,2,1,0.0000010839682018444682
eagle,0,1,1,2,1,2,2,0.0000010839682018444682
eagle,0,1,1,2,2,0,0,3.924699866871307e-7
eagle,0,1,1,2,2,0,1,3.924699866871307e-7
eagle,0,1,1,2,2,0,2,3.924699866871307e-7
eagle,0,1,1,2,2,1,0,8.581101500722233e-7
eagle,0,1,1,2,2,1,1,8.581101500722233e-7
eagle,0,1,1,2,2,1,2,8.581101500722233e-7
eagle,0,1,1,2,2,2,0,0.0000010839682018444682
eagle,0,1,1,2,2,2,1,0.0000010839682018444682
eagle,0,1,1,2,2,2,2,0.0000010839682018444682
eagle,0,1,2,0,0,0,0,3.924699866871307e-7
eagle,0,1,2,0,0,0,1,3.924699866871307e-7
eagle,0,1,2,0,0,0,2,3.924699866871307e-7
eagle,0,1,2,0,0,1,0,8.581101500722233e-7
eagle,0,1,2,0,0,1,1,8.581101500722233e-7
eagle,0,1,2,0,0,1,2,8.581101500722233e-7
eagle,0,1,2,0,0,2,0,0.0000010839682018444682
eagle,0,1,2,0,0,2,1,0.0000010839682018444682
eagle,0,1,2,0,0,2,2,0.0000010839682018444682
eagle,0,1,2,0,1,0,0,3.924699866871307e-7
eagle,0,1,2,0,1,0,1,3.924699866871307e-7
eagle,0,1,2,0,1,0,2,3.924699866871307e-7
eagle,0,1,2,0,1,1,0,8.581101500722233e-7
eagle,0,1,2,0,1,1,1,8.581101500722233e-7
eagle,0,1,2,0,1,1,2,8.581101500722233e-7
eagle,0,1,2,0,1,2,0,0.0000010839682018444682
eagle,0,1,2,0,1,2,1,0.0000010839682018444682
eagle,0,1,2,0,1,2,2,0.0000010839682018444682
eagle,0,1,2,0,2,0,0,3.924699866871307e-7
eagle,0,1,2,0,2,0,1,3.924699866871307e-7
eagle,0,1,2,0,2,0,2,3.924699866871307e-7
eagle,0,1,2,0,2,1,0,8.581101500722233e-7
eagle,0,1,2,0,2,1,1,8.581101500722233e-7
eagle,0,1,2,0,2,1,2,8.581101500722233e-7
eagle,0,1,2,0,2,2,0,0.0000010839682018444682
eagle,0,1,2,0,2,2,1,0.0000010839682018444682
eagle,0,1,2,0,2,2,2,0.0000010839682018444682
eagle,0,1,2,1,0,0,0,3.924699866871307e-7
eagle,0,1,2,1,0,0,1,3.924699866871307e-7
eagle,0,1,2,1,0,0,2,3.924699866871307e-7
eagle,0,1,2,1,0,1,0,8.581101500722233e-7
eagle,0,1,2,1,0,1,1,8.581101500722233e-7
eagle,0,1,2,1,0,1,2,8.581101500722233e-7
eagle,0,1,2,1,0,2,0,0.0000010839682018444682
eagle,0,1,2,1,0,2,1,0.0000010839682018444682
eagle,0,1,2,1,0,2,2,0.0000010839682018444682
eagle,0,1,2,1,1,0,0,3.924699866871307e-7
eagle,0,1,2,1,1,0,1,3.924699866871307e-7
eagle,0,1,2,1,1,0,2,3.924699866871307e-7
eagle,0,1,2,1,1,1,0,8.581101500722233e-7
eagle,0,1,2,1,1,1,1,8.581101500722233e-7
eagle,0,1,2,1,1,1,2,8.581101500722233e-7
eagle,0,1,2,1,1,2,0,0.0000010839682018444682
eagle,0,1,2,1,1,2,1,0.0000010839682018444682
eagle,0,1,2,1,1,2,2,0.0000010839682018444682
eagle,0,1,2,1,2,0,0,3.924699866871307e-7
eagle,0,1,2,1,2,0,1,3.924699866871307e-7
eagle,0,1,2,1,2,0,2,3.924699866871307e-7
eagle,0,1,2,1,2,1,0,8.581101500722233e-7
eagle,0,1,2,1,2,1,1,8.581101500722233e-7
eagle,0,1,2,1,2,1,2,8.581101500722233e-7
eagle,0,1,2,1,2,2,0,0.0000010839682018444682
eagle,0,1,2,1,2,2,1,0.0000010839682018444682
eagle,0,1,2,1,2,2,2,0.0000010839682018444682
eagle,0,1,2,2,0,0,0,3.924699866871307e-7
eagle,0,1,2,2,0,0,1,3.924699866871307e-7
eagle,0,1,2,2,0,0,2,3.924699866871307e-7
eagle,0,1,2,2,0,1,0,8.581101500722233e-7
eagle,0,1,2,2,0,1,1,8.581101500722233e-7
eagle,0,1,2,2,0,1,2,8.581101500722233e-7
eagle,0,1,2,2,0,2,0,0.0000010839682018444682
eagle,0,1,2,2,0,2,1,0.0000010839682018444682
eagle,0,1,2,2,0,2,2,0.0000010839682018444682
eagle,0,1,2,2,1,0,0,3.924699866871307e-7
eagle,0,1,2,2,1,0,1,3.924699866871307e-7
eagle,0,1,2,2,1,0,2,3.924699866871307e-7
eagle,0,1,2,2,1,1,0,8.581101500722233e-7
eagle,0,1,2,2,1,1,1,8.581101500722233e-7
eagle,0,1,2,2,1,1,2,8.581101500722233e-7
eagle,0,1,2,2,1,2,0,0.0000010839682018444682
eagle,0,1,2,2,1,2,1,0.0000010839682018444682
eagle,0,1,2,2,1,2,2,0.0000010839682018444682
eagle,0,1,2,2,2,0,0,3.924699866871307e-7
eagle,0,1,2,2,2,0,1,3.924699866871307e-7
eagle,0,1,2,2,2,0,2,3.924699866871307e-7
