category,slithery,tall,strong,long,fast,prob
giraffe,1,0,1,0,0,5.506176760239988e-7
giraffe,1,0,1,0,1,5.506176760239988e-7
giraffe,1,0,1,0,2,5.506176760239988e-7
giraffe,1,0,1,1,0,0.0000029788239225414145
giraffe,1,0,1,1,1,0.0000029788239225414145
giraffe,1,0,1,1,2,0.0000029788239225414145
giraffe,1,0,1,2,0,0.000007474675365038494
giraffe,1,0,1,2,1,0.000007474675365038494
giraffe,1,0,1,2,2,0.000007474675365038494
giraffe,1,0,2,0,0,5.506176760239988e-7
giraffe,1,0,2,0,1,5.506176760239988e-7
giraffe,1,0,2,0,2,5.506176760239988e-7
giraffe,1,0,2,1,0,0.0000029788239225414145
giraffe,1,0,2,1,1,0.0000029788239225414145
giraffe,1,0,2,1,2,0.0000029788239225414145
giraffe,1,0,2,2,0,0.000007474675365038494
giraffe,1,0,2,2,1,0.000007474675365038494
giraffe,1,0,2,2,2,0.000007474675365038494
giraffe,1,1,0,0,0,0.0000017294815403979192
giraffe,1,1,0,0,1,0.0000017294815403979192
giraffe,1,1,0,0,2,0.0000017294815403979192
giraffe,1,1,0,1,0,0.000009324614329253847
giraffe,1,1,0,1,1,0.000009324614329253847
giraffe,1,1,0,1,2,0.000009324614329253847
giraffe,1,1,0,2,0,0.00002327793973070064
giraffe,1,1,0,2,1,0.00002327793973070064
giraffe,1,1,0,2,2,0.00002327793973070064
giraffe,1,1,1,0,0,0.0000017294815403979192
giraffe,1,1,1,0,1,0.0000017294815403979192
giraffe,1,1,1,0,2,0.0000017294815403979192
giraffe,1,1,1,1,0,0.000009324614329253847
giraffe,1,1,1,1,1,0.000009324614329253847
giraffe,1,1,1,1,2,0.000009324614329253847
giraffe,1,1,1,2,0,0.00002327793973070064
giraffe,1,1,1,2,1,0.00002327793973070064
giraffe,1,1,1,2,2,0.00002327793973070064
giraffe,1,1,2,0,0,0.0000017294815403979192
giraffe,1,1,2,0,1,0.0000017294815403979192
giraffe,1,1,2,0,2,0.0000017294815403979192
giraffe,1,1,2,1,0,0.000009324614329253847
giraffe,1,1,2,1,1,0.000009324614329253847
giraffe,1,1,2,1,2,0.000009324614329253847
giraffe,1,1,2,2,0,0.00002327793973070064
giraffe,1,1,2,2,1,0.00002327793973070064
giraffe,1,1,2,2,2,0.00002327793973070064
giraffe,1,2,0,0,0,0.000013688979518338597
giraffe,1,2,0,0,1,0.000013688979518338597
giraffe,1,2,0,0,2,0.000013688979518338597
giraffe,1,2,0,1,0,0.00007273387289769992
giraffe,1,2,0,1,1,0.00007273387289769992
giraffe,1,2,0,1,2,0.00007273387289769992
giraffe,1,2,0,2,0,0.00017751851234844022
giraffe,1,2,0,2,1,0.00017751851234844022
giraffe,1,2,0,2,2,0.00017751851234844022
giraffe,1,2,1,0,0,0.000013688979518338597
giraffe,1,2,1,0,1,0.000013688979518338597
giraffe,1,2,1,0,2,0.000013688979518338597
giraffe,1,2,1,1,0,0.00007273387289769992
giraffe,1,2,1,1,1,0.00007273387289769992
giraffe,1,2,1,1,2,0.00007273387289769992
giraffe,1,2,1,2,0,0.00017751851234844022
giraffe,1,2,1,2,1,0.00017751851234844022
giraffe,1,2,1,2,2,0.00017751851234844022
giraffe,1,2,2,0,0,0.000013688979518338597
giraffe,1,2,2,0,1,0.000013688979518338597
giraffe,1,2,2,0,2,0.000013688979518338597
giraffe,1,2,2,1,0,0.00007273387289769992
giraffe,1,2,2,1,1,0.00007273387289769992
giraffe,1,2,2,1,2,0.00007273387289769992
giraffe,1,2,2,2,0,0.00017751851234844022
giraffe,1,2,2,2,1,0.00017751851234844022
giraffe,1,2,2,2,2,0.00017751851234844022
giraffe,2,0,0,0,0,5.506176760239988e-7
giraffe,2,0,0,0,1,5.506176760239988e-7
giraffe,2,0,0,0,2,5.506176760239988e-7
giraffe,2,0,0,1,0,0.0000029788239225414145
giraffe,2,0,0,1,1,0.0000029788239225414145
giraffe,2,0,0,1,2,0.0000029788239225414145
giraffe,2,0,0,2,0,0.000007474675365038494
giraffe,2,0,0,2,1,0.000007474675365038494
giraffe,2,0,0,2,2,0.000007474675365038494
giraffe,2,0,1,0,0,5.506176760239988e-7
giraffe,2,0,1,0,1,5.506176760239988e-7
giraffe,2,0,1,0,2,5.506176760239988e-7
