category,cute,lazy,big,hard,playful,loyal,majestic,friendly,prob
elephant,0,0,0,0,0,0,0,0,4.2194925476548685e-8
elephant,0,0,0,0,0,0,0,1,4.2194925476548685e-8
elephant,0,0,0,0,0,0,0,2,4.2194925476548685e-8
elephant,0,0,0,0,0,0,1,0,4.2194925476548685e-8
elephant,0,0,0,0,0,0,1,1,4.2194925476548685e-8
elephant,0,0,0,0,0,0,1,2,4.2194925476548685e-8
elephant,0,0,0,0,0,0,2,0,4.2194925476548685e-8
elephant,0,0,0,0,0,0,2,1,4.2194925476548685e-8
elephant,0,0,0,0,0,0,2,2,4.2194925476548685e-8
elephant,0,0,0,0,0,1,0,0,4.2194925476548685e-8
elephant,0,0,0,0,0,1,0,1,4.2194925476548685e-8
elephant,0,0,0,0,0,1,0,2,4.2194925476548685e-8
elephant,0,0,0,0,0,1,1,0,4.2194925476548685e-8
elephant,0,0,0,0,0,1,1,1,4.2194925476548685e-8
elephant,0,0,0,0,0,1,1,2,4.2194925476548685e-8
elephant,0,0,0,0,0,1,2,0,4.2194925476548685e-8
elephant,0,0,0,0,0,1,2,1,4.2194925476548685e-8
elephant,0,0,0,0,0,1,2,2,4.2194925476548685e-8
elephant,0,0,0,0,0,2,0,0,4.2194925476548685e-8
elephant,0,0,0,0,0,2,0,1,4.2194925476548685e-8
elephant,0,0,0,0,0,2,0,2,4.2194925476548685e-8
elephant,0,0,0,0,0,2,1,0,4.2194925476548685e-8
elephant,0,0,0,0,0,2,1,1,4.2194925476548685e-8
elephant,0,0,0,0,0,2,1,2,4.2194925476548685e-8
elephant,0,0,0,0,0,2,2,0,4.2194925476548685e-8
elephant,0,0,0,0,0,2,2,1,4.2194925476548685e-8
elephant,0,0,0,0,0,2,2,2,4.2194925476548685e-8
elephant,0,0,0,0,1,0,0,0,4.2194925476548685e-8
elephant,0,0,0,0,1,0,0,1,4.2194925476548685e-8
elephant,0,0,0,0,1,0,0,2,4.2194925476548685e-8
elephant,0,0,0,0,1,0,1,0,4.2194925476548685e-8
elephant,0,0,0,0,1,0,1,1,4.2194925476548685e-8
elephant,0,0,0,0,1,0,1,2,4.2194925476548685e-8
elephant,0,0,0,0,1,0,2,0,4.2194925476548685e-8
elephant,0,0,0,0,1,0,2,1,4.2194925476548685e-8
elephant,0,0,0,0,1,0,2,2,4.2194925476548685e-8
elephant,0,0,0,0,1,1,0,0,4.2194925476548685e-8
elephant,0,0,0,0,1,1,0,1,4.2194925476548685e-8
elephant,0,0,0,0,1,1,0,2,4.2194925476548685e-8
elephant,0,0,0,0,1,1,1,0,4.2194925476548685e-8
