category,funny,lazy,cute,playful,loyal,loud,friendly,smart,prob
monkey,0,0,0,1,0,0,0,2,1.22213747193654e-7
monkey,0,0,0,1,0,0,1,0,1.22213747193654e-7
monkey,0,0,0,1,0,0,1,1,1.22213747193654e-7
monkey,0,0,0,1,0,0,1,2,1.22213747193654e-7
monkey,0,0,0,1,0,0,2,0,1.22213747193654e-7
monkey,0,0,0,1,0,0,2,1,1.22213747193654e-7
monkey,0,0,0,1,0,0,2,2,1.22213747193654e-7
monkey,0,0,0,1,0,1,0,0,1.22213747193654e-7
monkey,0,0,0,1,0,1,0,1,1.22213747193654e-7
monkey,0,0,0,1,0,1,0,2,1.22213747193654e-7
monkey,0,0,0,1,0,1,1,0,1.22213747193654e-7
monkey,0,0,0,1,0,1,1,1,1.22213747193654e-7
monkey,0,0,0,1,0,1,1,2,1.22213747193654e-7
monkey,0,0,0,1,0,1,2,0,1.22213747193654e-7
monkey,0,0,0,1,0,1,2,1,1.22213747193654e-7
monkey,0,0,0,1,0,1,2,2,1.22213747193654e-7
monkey,0,0,0,1,0,2,0,0,1.22213747193654e-7
monkey,0,0,0,1,0,2,0,1,1.22213747193654e-7
monkey,0,0,0,1,0,2,0,2,1.22213747193654e-7
monkey,0,0,0,1,0,2,1,0,1.22213747193654e-7
monkey,0,0,0,1,0,2,1,1,1.22213747193654e-7
monkey,0,0,0,1,0,2,1,2,1.22213747193654e-7
monkey,0,0,0,1,0,2,2,0,1.22213747193654e-7
monkey,0,0,0,1,0,2,2,1,1.22213747193654e-7
monkey,0,0,0,1,0,2,2,2,1.22213747193654e-7
monkey,0,0,0,1,1,0,0,0,1.22213747193654e-7
monkey,0,0,0,1,1,0,0,1,1.22213747193654e-7
monkey,0,0,0,1,1,0,0,2,1.22213747193654e-7
monkey,0,0,0,1,1,0,1,0,1.22213747193654e-7
monkey,0,0,0,1,1,0,1,1,1.22213747193654e-7
monkey,0,0,0,1,1,0,1,2,1.22213747193654e-7
monkey,0,0,0,1,1,0,2,0,1.22213747193654e-7
monkey,0,0,0,1,1,0,2,1,1.22213747193654e-7
monkey,0,0,0,1,1,0,2,2,1.22213747193654e-7
monkey,0,0,0,1,1,1,0,0,1.22213747193654e-7
monkey,0,0,0,1,1,1,0,1,1.22213747193654e-7
monkey,0,0,0,1,1,1,0,2,1.22213747193654e-7
monkey,0,0,0,1,1,1,1,0,1.22213747193654e-7
monkey,0,0,0,1,1,1,1,1,1.22213747193654e-7
monkey,0,0,0,1,1,1,1,2,1.22213747193654e-7
monkey,0,0,0,1,1,1,2,0,1.22213747193654e-7
monkey,0,0,0,1,1,1,2,1,1.22213747193654e-7
monkey,0,0,0,1,1,1,2,2,1.22213747193654e-7
monkey,0,0,0,1,1,2,0,0,1.22213747193654e-7
monkey,0,0,0,1,1,2,0,1,1.22213747193654e-7
monkey,0,0,0,1,1,2,0,2,1.22213747193654e-7
monkey,0,0,0,1,1,2,1,0,1.22213747193654e-7
monkey,0,0,0,1,1,2,1,1,1.22213747193654e-7
monkey,0,0,0,1,1,2,1,2,1.22213747193654e-7
monkey,0,0,0,1,1,2,2,0,1.22213747193654e-7
monkey,0,0,0,1,1,2,2,1,1.22213747193654e-7
monkey,0,0,0,1,1,2,2,2,1.22213747193654e-7
monkey,0,0,0,1,2,0,0,0,1.22213747193654e-7
monkey,0,0,0,1,2,0,0,1,1.22213747193654e-7
monkey,0,0,0,1,2,0,0,2,1.22213747193654e-7
monkey,0,0,0,1,2,0,1,0,1.22213747193654e-7
monkey,0,0,0,1,2,0,1,1,1.22213747193654e-7
monkey,0,0,0,1,2,0,1,2,1.22213747193654e-7
monkey,0,0,0,1,2,0,2,0,1.22213747193654e-7
monkey,0,0,0,1,2,0,2,1,1.22213747193654e-7
monkey,0,0,0,1,2,0,2,2,1.22213747193654e-7
monkey,0,0,0,1,2,1,0,0,1.22213747193654e-7
monkey,0,0,0,1,2,1,0,1,1.22213747193654e-7
monkey,0,0,0,1,2,1,0,2,1.22213747193654e-7
monkey,0,0,0,1,2,1,1,0,1.22213747193654e-7
monkey,0,0,0,1,2,1,1,1,1.22213747193654e-7
monkey,0,0,0,1,2,1,1,2,1.22213747193654e-7
monkey,0,0,0,1,2,1,2,0,1.22213747193654e-7
monkey,0,0,0,1,2,1,2,1,1.22213747193654e-7
monkey,0,0,0,1,2,1,2,2,1.22213747193654e-7
monkey,0,0,0,1,2,2,0,0,1.22213747193654e-7
monkey,0,0,0,1,2,2,0,1,1.22213747193654e-7
monkey,0,0,0,1,2,2,0,2,1.22213747193654e-7
monkey,0,0,0,1,2,2,1,0,1.22213747193654e-7
monkey,0,0,0,1,2,2,1,1,1.22213747193654e-7
monkey,0,0,0,1,2,2,1,2,1.22213747193654e-7
monkey,0,0,0,1,2,2,2,0,1.22213747193654e-7
monkey,0,0,0,1,2,2,2,1,1.22213747193654e-7
monkey,0,0,0,1,2,2,2,2,1.22213747193654e-7
monkey,0,0,0,2,0,0,0,0,1.22213747193654e-7
monkey,0,0,0,2,0,0,0,1,1.22213747193654e-7
monkey,0,0,0,2,0,0,0,2,1.22213747193654e-7
monkey,0,0,0,2,0,0,1,0,1.22213747193654e-7
monkey,0,0,0,2,0,0,1,1,1.22213747193654e-7
monkey,0,0,0,2,0,0,1,2,1.22213747193654e-7
monkey,0,0,0,2,0,0,2,0,1.22213747193654e-7
monkey,0,0,0,2,0,0,2,1,1.22213747193654e-7
monkey,0,0,0,2,0,0,2,2,1.22213747193654e-7
monkey,0,0,0,2,0,1,0,0,1.22213747193654e-7
monkey,0,0,0,2,0,1,0,1,1.22213747193654e-7
monkey,0,0,0,2,0,1,0,2,1.22213747193654e-7
monkey,0,0,0,2,0,1,1,0,1.22213747193654e-7
monkey,0,0,0,2,0,1,1,1,1.22213747193654e-7
monkey,0,0,0,2,0,1,1,2,1.22213747193654e-7
monkey,0,0,0,2,0,1,2,0,1.22213747193654e-7
monkey,0,0,0,2,0,1,2,1,1.22213747193654e-7
monkey,0,0,0,2,0,1,2,2,1.22213747193654e-7
monkey,0,0,0,2,0,2,0,0,1.22213747193654e-7
monkey,0,0,0,2,0,2,0,1,1.22213747193654e-7
monkey,0,0,0,2,0,2,0,2,1.22213747193654e-7
monkey,0,0,0,2,0,2,1,0,1.22213747193654e-7
monkey,0,0,0,2,0,2,1,1,1.22213747193654e-7
monkey,0,0,0,2,0,2,1,2,1.22213747193654e-7
monkey,0,0,0,2,0,2,2,0,1.22213747193654e-7
monkey,0,0,0,2,0,2,2,1,1.22213747193654e-7
monkey,0,0,0,2,0,2,2,2,1.22213747193654e-7
monkey,0,0,0,2,1,0,0,0,1.22213747193654e-7
monkey,0,0,0,2,1,0,0,1,1.22213747193654e-7
monkey,0,0,0,2,1,0,0,2,1.22213747193654e-7
monkey,0,0,0,2,1,0,1,0,1.22213747193654e-7
monkey,0,0,0,2,1,0,1,1,1.22213747193654e-7
monkey,0,0,0,2,1,0,1,2,1.22213747193654e-7
monkey,0,0,0,2,1,0,2,0,1.22213747193654e-7
monkey,0,0,0,2,1,0,2,1,1.22213747193654e-7
monkey,0,0,0,2,1,0,2,2,1.22213747193654e-7
monkey,0,0,0,2,1,1,0,0,1.22213747193654e-7
monkey,0,0,0,2,1,1,0,1,1.22213747193654e-7
monkey,0,0,0,2,1,1,0,2,1.22213747193654e-7
monkey,0,0,0,2,1,1,1,0,1.22213747193654e-7
monkey,0,0,0,2,1,1,1,1,1.22213747193654e-7
monkey,0,0,0,2,1,1,1,2,1.22213747193654e-7
monkey,0,0,0,2,1,1,2,0,1.22213747193654e-7
monkey,0,0,0,2,1,1,2,1,1.22213747193654e-7
monkey,0,0,0,2,1,1,2,2,1.22213747193654e-7
monkey,0,0,0,2,1,2,0,0,1.22213747193654e-7
monkey,0,0,0,2,1,2,0,1,1.22213747193654e-7
monkey,0,0,0,2,1,2,0,2,1.22213747193654e-7
monkey,0,0,0,2,1,2,1,0,1.22213747193654e-7
monkey,0,0,0,2,1,2,1,1,1.22213747193654e-7
monkey,0,0,0,2,1,2,1,2,1.22213747193654e-7
monkey,0,0,0,2,1,2,2,0,1.22213747193654e-7
monkey,0,0,0,2,1,2,2,1,1.22213747193654e-7
monkey,0,0,0,2,1,2,2,2,1.22213747193654e-7
monkey,0,0,0,2,2,0,0,0,1.22213747193654e-7
monkey,0,0,0,2,2,0,0,1,1.22213747193654e-7
monkey,0,0,0,2,2,0,0,2,1.22213747193654e-7
monkey,0,0,0,2,2,0,1,0,1.22213747193654e-7
monkey,0,0,0,2,2,0,1,1,1.22213747193654e-7
monkey,0,0,0,2,2,0,1,2,1.22213747193654e-7
monkey,0,0,0,2,2,0,2,0,1.22213747193654e-7
monkey,0,0,0,2,2,0,2,1,1.22213747193654e-7
monkey,0,0,0,2,2,0,2,2,1.22213747193654e-7
monkey,0,0,0,2,2,1,0,0,1.22213747193654e-7
monkey,0,0,0,2,2,1,0,1,1.22213747193654e-7
monkey,0,0,0,2,2,1,0,2,1.22213747193654e-7
monkey,0,0,0,2,2,1,1,0,1.22213747193654e-7
monkey,0,0,0,2,2,1,1,1,1.22213747193654e-7
monkey,0,0,0,2,2,1,1,2,1.22213747193654e-7
monkey,0,0,0,2,2,1,2,0,1.22213747193654e-7
monkey,0,0,0,2,2,1,2,1,1.22213747193654e-7
monkey,0,0,0,2,2,1,2,2,1.22213747193654e-7
monkey,0,0,0,2,2,2,0,0,1.22213747193654e-7
monkey,0,0,0,2,2,2,0,1,1.22213747193654e-7
monkey,0,0,0,2,2,2,0,2,1.22213747193654e-7
monkey,0,0,0,2,2,2,1,0,1.22213747193654e-7
monkey,0,0,0,2,2,2,1,1,1.22213747193654e-7
monkey,0,0,0,2,2,2,1,2,1.22213747193654e-7
monkey,0,0,0,2,2,2,2,0,1.22213747193654e-7
monkey,0,0,0,2,2,2,2,1,1.22213747193654e-7
monkey,0,0,0,2,2,2,2,2,1.22213747193654e-7
monkey,0,0,1,0,0,0,0,0,2.4412729646194635e-7
monkey,0,0,1,0,0,0,0,1,2.4412729646194635e-7
monkey,0,0,1,0,0,0,0,2,2.4412729646194635e-7
monkey,0,0,1,0,0,0,1,0,2.4412729646194635e-7
monkey,0,0,1,0,0,0,1,1,2.4412729646194635e-7
monkey,0,0,1,0,0,0,1,2,2.4412729646194635e-7
monkey,0,0,1,0,0,0,2,0,2.4412729646194635e-7
monkey,0,0,1,0,0,0,2,1,2.4412729646194635e-7
monkey,0,0,1,0,0,0,2,2,2.4412729646194635e-7
monkey,0,0,1,0,0,1,0,0,2.4412729646194635e-7
monkey,0,0,1,0,0,1,0,1,2.4412729646194635e-7
monkey,0,0,1,0,0,1,0,2,2.4412729646194635e-7
monkey,0,0,1,0,0,1,1,0,2.4412729646194635e-7
monkey,0,0,1,0,0,1,1,1,2.4412729646194635e-7
monkey,0,0,1,0,0,1,1,2,2.4412729646194635e-7
monkey,0,0,1,0,0,1,2,0,2.4412729646194635e-7
monkey,0,0,1,0,0,1,2,1,2.4412729646194635e-7
monkey,0,0,1,0,0,1,2,2,2.4412729646194635e-7
monkey,0,0,1,0,0,2,0,0,2.4412729646194635e-7
monkey,0,0,1,0,0,2,0,1,2.4412729646194635e-7
monkey,0,0,1,0,0,2,0,2,2.4412729646194635e-7
monkey,0,0,1,0,0,2,1,0,2.4412729646194635e-7
monkey,0,0,1,0,0,2,1,1,2.4412729646194635e-7
monkey,0,0,1,0,0,2,1,2,2.4412729646194635e-7
monkey,0,0,1,0,0,2,2,0,2.4412729646194635e-7
monkey,0,0,1,0,0,2,2,1,2.4412729646194635e-7
monkey,0,0,1,0,0,2,2,2,2.4412729646194635e-7
monkey,0,0,1,0,1,0,0,0,2.4412729646194635e-7
monkey,0,0,1,0,1,0,0,1,2.4412729646194635e-7
monkey,0,0,1,0,1,0,0,2,2.4412729646194635e-7
monkey,0,0,1,0,1,0,1,0,2.4412729646194635e-7
monkey,0,0,1,0,1,0,1,1,2.4412729646194635e-7
monkey,0,0,1,0,1,0,1,2,2.4412729646194635e-7
monkey,0,0,1,0,1,0,2,0,2.4412729646194635e-7
monkey,0,0,1,0,1,0,2,1,2.4412729646194635e-7
monkey,0,0,1,0,1,0,2,2,2.4412729646194635e-7
monkey,0,0,1,0,1,1,0,0,2.4412729646194635e-7
monkey,0,0,1,0,1,1,0,1,2.4412729646194635e-7
monkey,0,0,1,0,1,1,0,2,2.4412729646194635e-7
monkey,0,0,1,0,1,1,1,0,2.4412729646194635e-7
monkey,0,0,1,0,1,1,1,1,2.4412729646194635e-7
monkey,0,0,1,0,1,1,1,2,2.4412729646194635e-7
monkey,0,0,1,0,1,1,2,0,2.4412729646194635e-7
monkey,0,0,1,0,1,1,2,1,2.4412729646194635e-7
monkey,0,0,1,0,1,1,2,2,2.4412729646194635e-7
monkey,0,0,1,0,1,2,0,0,2.4412729646194635e-7
monkey,0,0,1,0,1,2,0,1,2.4412729646194635e-7
monkey,0,0,1,0,1,2,0,2,2.4412729646194635e-7
monkey,0,0,1,0,1,2,1,0,2.4412729646194635e-7
monkey,0,0,1,0,1,2,1,1,2.4412729646194635e-7
monkey,0,0,1,0,1,2,1,2,2.4412729646194635e-7
monkey,0,0,1,0,1,2,2,0,2.4412729646194635e-7
monkey,0,0,1,0,1,2,2,1,2.4412729646194635e-7
monkey,0,0,1,0,1,2,2,2,2.4412729646194635e-7
monkey,0,0,1,0,2,0,0,0,2.4412729646194635e-7
monkey,0,0,1,0,2,0,0,1,2.4412729646194635e-7
monkey,0,0,1,0,2,0,0,2,2.4412729646194635e-7
monkey,0,0,1,0,2,0,1,0,2.4412729646194635e-7
monkey,0,0,1,0,2,0,1,1,2.4412729646194635e-7
monkey,0,0,1,0,2,0,1,2,2.4412729646194635e-7
monkey,0,0,1,0,2,0,2,0,2.4412729646194635e-7
monkey,0,0,1,0,2,0,2,1,2.4412729646194635e-7
monkey,0,0,1,0,2,0,2,2,2.4412729646194635e-7
monkey,0,0,1,0,2,1,0,0,2.4412729646194635e-7
monkey,0,0,1,0,2,1,0,1,2.4412729646194635e-7
monkey,0,0,1,0,2,1,0,2,2.4412729646194635e-7
monkey,0,0,1,0,2,1,1,0,2.4412729646194635e-7
monkey,0,0,1,0,2,1,1,1,2.4412729646194635e-7
monkey,0,0,1,0,2,1,1,2,2.4412729646194635e-7
monkey,0,0,1,0,2,1,2,0,2.4412729646194635e-7
monkey,0,0,1,0,2,1,2,1,2.4412729646194635e-7
monkey,0,0,1,0,2,1,2,2,2.4412729646194635e-7
monkey,0,0,1,0,2,2,0,0,2.4412729646194635e-7
monkey,0,0,1,0,2,2,0,1,2.4412729646194635e-7
monkey,0,0,1,0,2,2,0,2,2.4412729646194635e-7
monkey,0,0,1,0,2,2,1,0,2.4412729646194635e-7
monkey,0,0,1,0,2,2,1,1,2.4412729646194635e-7
monkey,0,0,1,0,2,2,1,2,2.4412729646194635e-7
monkey,0,0,1,0,2,2,2,0,2.4412729646194635e-7
monkey,0,0,1,0,2,2,2,1,2.4412729646194635e-7
monkey,0,0,1,0,2,2,2,2,2.4412729646194635e-7
monkey,0,0,1,1,0,0,0,0,2.4412729646194635e-7
monkey,0,0,1,1,0,0,0,1,2.4412729646194635e-7
monkey,0,0,1,1,0,0,0,2,2.4412729646194635e-7
monkey,0,0,1,1,0,0,1,0,2.4412729646194635e-7
monkey,0,0,1,1,0,0,1,1,2.4412729646194635e-7
monkey,0,0,1,1,0,0,1,2,2.4412729646194635e-7
monkey,0,0,1,1,0,0,2,0,2.4412729646194635e-7
monkey,0,0,1,1,0,0,2,1,2.4412729646194635e-7
monkey,0,0,1,1,0,0,2,2,2.4412729646194635e-7
monkey,0,0,1,1,0,1,0,0,2.4412729646194635e-7
monkey,0,0,1,1,0,1,0,1,2.4412729646194635e-7
monkey,0,0,1,1,0,1,0,2,2.4412729646194635e-7
monkey,0,0,1,1,0,1,1,0,2.4412729646194635e-7
monkey,0,0,1,1,0,1,1,1,2.4412729646194635e-7
monkey,0,0,1,1,0,1,1,2,2.4412729646194635e-7
monkey,0,0,1,1,0,1,2,0,2.4412729646194635e-7
monkey,0,0,1,1,0,1,2,1,2.4412729646194635e-7
monkey,0,0,1,1,0,1,2,2,2.4412729646194635e-7
monkey,0,0,1,1,0,2,0,0,2.4412729646194635e-7
monkey,0,0,1,1,0,2,0,1,2.4412729646194635e-7
monkey,0,0,1,1,0,2,0,2,2.4412729646194635e-7
monkey,0,0,1,1,0,2,1,0,2.4412729646194635e-7
monkey,0,0,1,1,0,2,1,1,2.4412729646194635e-7
monkey,0,0,1,1,0,2,1,2,2.4412729646194635e-7
monkey,0,0,1,1,0,2,2,0,2.4412729646194635e-7
monkey,0,0,1,1,0,2,2,1,2.4412729646194635e-7
monkey,0,0,1,1,0,2,2,2,2.4412729646194635e-7
monkey,0,0,1,1,1,0,0,0,2.4412729646194635e-7
monkey,0,0,1,1,1,0,0,1,2.4412729646194635e-7
monkey,0,0,1,1,1,0,0,2,2.4412729646194635e-7
monkey,0,0,1,1,1,0,1,0,2.4412729646194635e-7
monkey,0,0,1,1,1,0,1,1,2.4412729646194635e-7
monkey,0,0,1,1,1,0,1,2,2.4412729646194635e-7
monkey,0,0,1,1,1,0,2,0,2.4412729646194635e-7
monkey,0,0,1,1,1,0,2,1,2.4412729646194635e-7
monkey,0,0,1,1,1,0,2,2,2.4412729646194635e-7
monkey,0,0,1,1,1,1,0,0,2.4412729646194635e-7
monkey,0,0,1,1,1,1,0,1,2.4412729646194635e-7
monkey,0,0,1,1,1,1,0,2,2.4412729646194635e-7
monkey,0,0,1,1,1,1,1,0,2.4412729646194635e-7
monkey,0,0,1,1,1,1,1,1,2.4412729646194635e-7
monkey,0,0,1,1,1,1,1,2,2.4412729646194635e-7
monkey,0,0,1,1,1,1,2,0,2.4412729646194635e-7
monkey,0,0,1,1,1,1,2,1,2.4412729646194635e-7
monkey,0,0,1,1,1,1,2,2,2.4412729646194635e-7
monkey,0,0,1,1,1,2,0,0,2.4412729646194635e-7
monkey,0,0,1,1,1,2,0,1,2.4412729646194635e-7
monkey,0,0,1,1,1,2,0,2,2.4412729646194635e-7
monkey,0,0,1,1,1,2,1,0,2.4412729646194635e-7
monkey,0,0,1,1,1,2,1,1,2.4412729646194635e-7
monkey,0,0,1,1,1,2,1,2,2.4412729646194635e-7
monkey,0,0,1,1,1,2,2,0,2.4412729646194635e-7
monkey,0,0,1,1,1,2,2,1,2.4412729646194635e-7
monkey,0,0,1,1,1,2,2,2,2.4412729646194635e-7
monkey,0,0,1,1,2,0,0,0,2.4412729646194635e-7
monkey,0,0,1,1,2,0,0,1,2.4412729646194635e-7
monkey,0,0,1,1,2,0,0,2,2.4412729646194635e-7
monkey,0,0,1,1,2,0,1,0,2.4412729646194635e-7
monkey,0,0,1,1,2,0,1,1,2.4412729646194635e-7
monkey,0,0,1,1,2,0,1,2,2.4412729646194635e-7
monkey,0,0,1,1,2,0,2,0,2.4412729646194635e-7
monkey,0,0,1,1,2,0,2,1,2.4412729646194635e-7
monkey,0,0,1,1,2,0,2,2,2.4412729646194635e-7
monkey,0,0,1,1,2,1,0,0,2.4412729646194635e-7
monkey,0,0,1,1,2,1,0,1,2.4412729646194635e-7
monkey,0,0,1,1,2,1,0,2,2.4412729646194635e-7
monkey,0,0,1,1,2,1,1,0,2.4412729646194635e-7
monkey,0,0,1,1,2,1,1,1,2.4412729646194635e-7
monkey,0,0,1,1,2,1,1,2,2.4412729646194635e-7
monkey,0,0,1,1,2,1,2,0,2.4412729646194635e-7
monkey,0,0,1,1,2,1,2,1,2.4412729646194635e-7
monkey,0,0,1,1,2,1,2,2,2.4412729646194635e-7
monkey,0,0,1,1,2,2,0,0,2.4412729646194635e-7
monkey,0,0,1,1,2,2,0,1,2.4412729646194635e-7
monkey,0,0,1,1,2,2,0,2,2.4412729646194635e-7
monkey,0,0,1,1,2,2,1,0,2.4412729646194635e-7
monkey,0,0,1,1,2,2,1,1,2.4412729646194635e-7
monkey,0,0,1,1,2,2,1,2,2.4412729646194635e-7
monkey,0,0,1,1,2,2,2,0,2.4412729646194635e-7
monkey,0,0,1,1,2,2,2,1,2.4412729646194635e-7
monkey,0,0,1,1,2,2,2,2,2.4412729646194635e-7
monkey,0,0,1,2,0,0,0,0,2.4412729646194635e-7
monkey,0,0,1,2,0,0,0,1,2.4412729646194635e-7
monkey,0,0,1,2,0,0,0,2,2.4412729646194635e-7
monkey,0,0,1,2,0,0,1,0,2.4412729646194635e-7
monkey,0,0,1,2,0,0,1,1,2.4412729646194635e-7
monkey,0,0,1,2,0,0,1,2,2.4412729646194635e-7
monkey,0,0,1,2,0,0,2,0,2.4412729646194635e-7
monkey,0,0,1,2,0,0,2,1,2.4412729646194635e-7
monkey,0,0,1,2,0,0,2,2,2.4412729646194635e-7
monkey,0,0,1,2,0,1,0,0,2.4412729646194635e-7
monkey,0,0,1,2,0,1,0,1,2.4412729646194635e-7
monkey,0,0,1,2,0,1,0,2,2.4412729646194635e-7
monkey,0,0,1,2,0,1,1,0,2.4412729646194635e-7
monkey,0,0,1,2,0,1,1,1,2.4412729646194635e-7
monkey,0,0,1,2,0,1,1,2,2.4412729646194635e-7
monkey,0,0,1,2,0,1,2,0,2.4412729646194635e-7
monkey,0,0,1,2,0,1,2,1,2.4412729646194635e-7
monkey,0,0,1,2,0,1,2,2,2.4412729646194635e-7
monkey,0,0,1,2,0,2,0,0,2.4412729646194635e-7
monkey,0,0,1,2,0,2,0,1,2.4412729646194635e-7
monkey,0,0,1,2,0,2,0,2,2.4412729646194635e-7
monkey,0,0,1,2,0,2,1,0,2.4412729646194635e-7
monkey,0,0,1,2,0,2,1,1,2.4412729646194635e-7
monkey,0,0,1,2,0,2,1,2,2.4412729646194635e-7
monkey,0,0,1,2,0,2,2,0,2.4412729646194635e-7
monkey,0,0,1,2,0,2,2,1,2.4412729646194635e-7
monkey,0,0,1,2,0,2,2,2,2.4412729646194635e-7
monkey,0,0,1,2,1,0,0,0,2.4412729646194635e-7
monkey,0,0,1,2,1,0,0,1,2.4412729646194635e-7
monkey,0,0,1,2,1,0,0,2,2.4412729646194635e-7
monkey,0,0,1,2,1,0,1,0,2.4412729646194635e-7
monkey,0,0,1,2,1,0,1,1,2.4412729646194635e-7
monkey,0,0,1,2,1,0,1,2,2.4412729646194635e-7
monkey,0,0,1,2,1,0,2,0,2.4412729646194635e-7
monkey,0,0,1,2,1,0,2,1,2.4412729646194635e-7
monkey,0,0,1,2,1,0,2,2,2.4412729646194635e-7
monkey,0,0,1,2,1,1,0,0,2.4412729646194635e-7
monkey,0,0,1,2,1,1,0,1,2.4412729646194635e-7
