category,funny,industrious,busy,quiet,small,smart,prob
ant,1,1,1,1,1,2,7.860766093270596e-7
ant,1,1,1,1,2,0,0.000013883421150858754
ant,1,1,1,1,2,1,0.000013883421150858754
ant,1,1,1,1,2,2,0.000013883421150858754
ant,1,1,1,2,0,0,0.000001712865737533472
ant,1,1,1,2,0,1,0.000001712865737533472
ant,1,1,1,2,0,2,0.000001712865737533472
ant,1,1,1,2,1,0,7.860766093270596e-7
ant,1,1,1,2,1,1,7.860766093270596e-7
ant,1,1,1,2,1,2,7.860766093270596e-7
ant,1,1,1,2,2,0,0.000013883421150858754
ant,1,1,1,2,2,1,0.000013883421150858754
ant,1,1,1,2,2,2,0.000013883421150858754
ant,1,1,2,0,0,0,0.000001712865737533472
ant,1,1,2,0,0,1,0.000001712865737533472
ant,1,1,2,0,0,2,0.000001712865737533472
ant,1,1,2,0,1,0,7.860766093270596e-7
ant,1,1,2,0,1,1,7.860766093270596e-7
ant,1,1,2,0,1,2,7.860766093270596e-7
ant,1,1,2,0,2,0,0.000013883421150858754
ant,1,1,2,0,2,1,0.000013883421150858754
ant,1,1,2,0,2,2,0.000013883421150858754
ant,1,1,2,1,0,0,0.000001712865737533472
ant,1,1,2,1,0,1,0.000001712865737533472
ant,1,1,2,1,0,2,0.000001712865737533472
ant,1,1,2,1,1,0,7.860766093270596e-7
ant,1,1,2,1,1,1,7.860766093270596e-7
ant,1,1,2,1,1,2,7.860766093270596e-7
ant,1,1,2,1,2,0,0.000013883421150858754
ant,1,1,2,1,2,1,0.000013883421150858754
ant,1,1,2,1,2,2,0.000013883421150858754
ant,1,1,2,2,0,0,0.000001712865737533472
ant,1,1,2,2,0,1,0.000001712865737533472
ant,1,1,2,2,0,2,0.000001712865737533472
ant,1,1,2,2,1,0,7.860766093270596e-7
ant,1,1,2,2,1,1,7.860766093270596e-7
ant,1,1,2,2,1,2,7.860766093270596e-7
ant,1,1,2,2,2,0,0.000013883421150858754
ant,1,1,2,2,2,1,0.000013883421150858754
ant,1,1,2,2,2,2,0.000013883421150858754
ant,1,2,0,0,0,0,0.0000040369376800807
ant,1,2,0,0,0,1,0.0000040369376800807
ant,1,2,0,0,0,2,0.0000040369376800807
ant,1,2,0,0,1,0,0.000001866030277921052
ant,1,2,0,0,1,1,0.000001866030277921052
ant,1,2,0,0,1,2,0.000001866030277921052
ant,1,2,0,0,2,0,0.00003252371019254698
ant,1,2,0,0,2,1,0.00003252371019254698
ant,1,2,0,0,2,2,0.00003252371019254698
ant,1,2,0,1,0,0,0.0000040369376800807
ant,1,2,0,1,0,1,0.0000040369376800807
ant,1,2,0,1,0,2,0.0000040369376800807
ant,1,2,0,1,1,0,0.000001866030277921052
ant,1,2,0,1,1,1,0.000001866030277921052
ant,1,2,0,1,1,2,0.000001866030277921052
ant,1,2,0,1,2,0,0.00003252371019254698
ant,1,2,0,1,2,1,0.00003252371019254698
ant,1,2,0,1,2,2,0.00003252371019254698
ant,1,2,0,2,0,0,0.0000040369376800807
ant,1,2,0,2,0,1,0.0000040369376800807
ant,1,2,0,2,0,2,0.0000040369376800807
ant,1,2,0,2,1,0,0.000001866030277921052
ant,1,2,0,2,1,1,0.000001866030277921052
ant,1,2,0,2,1,2,0.000001866030277921052
ant,1,2,0,2,2,0,0.00003252371019254698
ant,1,2,0,2,2,1,0.00003252371019254698
ant,1,2,0,2,2,2,0.00003252371019254698
ant,1,2,1,0,0,0,0.0000040369376800807
ant,1,2,1,0,0,1,0.0000040369376800807
ant,1,2,1,0,0,2,0.0000040369376800807
ant,1,2,1,0,1,0,0.000001866030277921052
ant,1,2,1,0,1,1,0.000001866030277921052
ant,1,2,1,0,1,2,0.000001866030277921052
ant,1,2,1,0,2,0,0.00003252371019254698
ant,1,2,1,0,2,1,0.00003252371019254698
ant,1,2,1,0,2,2,0.00003252371019254698
ant,1,2,1,1,0,0,0.0000040369376800807
ant,1,2,1,1,0,1,0.0000040369376800807
ant,1,2,1,1,0,2,0.0000040369376800807
ant,1,2,1,1,1,0,0.000001866030277921052
ant,1,2,1,1,1,1,0.000001866030277921052
ant,1,2,1,1,1,2,0.000001866030277921052
ant,1,2,1,1,2,0,0.00003252371019254698
ant,1,2,1,1,2,1,0.00003252371019254698
ant,1,2,1,1,2,2,0.00003252371019254698
ant,1,2,1,2,0,0,0.0000040369376800807
ant,1,2,1,2,0,1,0.0000040369376800807
ant,1,2,1,2,0,2,0.0000040369376800807
ant,1,2,1,2,1,0,0.000001866030277921052
ant,1,2,1,2,1,1,0.000001866030277921052
ant,1,2,1,2,1,2,0.000001866030277921052
ant,1,2,1,2,2,0,0.00003252371019254698
ant,1,2,1,2,2,1,0.00003252371019254698
ant,1,2,1,2,2,2,0.00003252371019254698
ant,1,2,2,0,0,0,0.0000040369376800807
ant,1,2,2,0,0,1,0.0000040369376800807
ant,1,2,2,0,0,2,0.0000040369376800807
ant,1,2,2,0,1,0,0.000001866030277921052
ant,1,2,2,0,1,1,0.000001866030277921052
ant,1,2,2,0,1,2,0.000001866030277921052
ant,1,2,2,0,2,0,0.00003252371019254698
ant,1,2,2,0,2,1,0.00003252371019254698
ant,1,2,2,0,2,2,0.00003252371019254698
ant,1,2,2,1,0,0,0.0000040369376800807
ant,1,2,2,1,0,1,0.0000040369376800807
ant,1,2,2,1,0,2,0.0000040369376800807
ant,1,2,2,1,1,0,0.000001866030277921052
ant,1,2,2,1,1,1,0.000001866030277921052
ant,1,2,2,1,1,2,0.000001866030277921052
ant,1,2,2,1,2,0,0.00003252371019254698
ant,1,2,2,1,2,1,0.00003252371019254698
ant,1,2,2,1,2,2,0.00003252371019254698
ant,1,2,2,2,0,0,0.0000040369376800807
ant,1,2,2,2,0,1,0.0000040369376800807
ant,1,2,2,2,0,2,0.0000040369376800807
ant,1,2,2,2,1,0,0.000001866030277921052
ant,1,2,2,2,1,1,0.000001866030277921052
ant,1,2,2,2,1,2,0.000001866030277921052
ant,1,2,2,2,2,0,0.00003252371019254698
ant,1,2,2,2,2,1,0.00003252371019254698
ant,1,2,2,2,2,2,0.00003252371019254698
ant,2,0,0,0,0,0,8.420958102180867e-7
ant,2,0,0,0,0,1,8.420958102180867e-7
ant,2,0,0,0,0,2,8.420958102180867e-7
ant,2,0,0,0,1,0,3.858697753892053e-7
ant,2,0,0,0,1,1,3.858697753892053e-7
ant,2,0,0,0,1,2,3.858697753892053e-7
ant,2,0,0,0,2,0,0.000006834182636314496
ant,2,0,0,0,2,1,0.000006834182636314496
ant,2,0,0,0,2,2,0.000006834182636314496
ant,2,0,0,1,0,0,8.420958102180867e-7
ant,2,0,0,1,0,1,8.420958102180867e-7
ant,2,0,0,1,0,2,8.420958102180867e-7
ant,2,0,0,1,1,0,3.858697753892053e-7
ant,2,0,0,1,1,1,3.858697753892053e-7
ant,2,0,0,1,1,2,3.858697753892053e-7
ant,2,0,0,1,2,0,0.000006834182636314496
ant,2,0,0,1,2,1,0.000006834182636314496
ant,2,0,0,1,2,2,0.000006834182636314496
ant,2,0,0,2,0,0,8.420958102180867e-7
ant,2,0,0,2,0,1,8.420958102180867e-7
ant,2,0,0,2,0,2,8.420958102180867e-7
ant,2,0,0,2,1,0,3.858697753892053e-7
ant,2,0,0,2,1,1,3.858697753892053e-7
ant,2,0,0,2,1,2,3.858697753892053e-7
ant,2,0,0,2,2,0,0.000006834182636314496
ant,2,0,0,2,2,1,0.000006834182636314496
ant,2,0,0,2,2,2,0.000006834182636314496
ant,2,0,1,0,0,0,8.420958102180867e-7
ant,2,0,1,0,0,1,8.420958102180867e-7
ant,2,0,1,0,0,2,8.420958102180867e-7
ant,2,0,1,0,1,0,3.858697753892053e-7
ant,2,0,1,0,1,1,3.858697753892053e-7
ant,2,0,1,0,1,2,3.858697753892053e-7
ant,2,0,1,0,2,0,0.000006834182636314496
ant,2,0,1,0,2,1,0.000006834182636314496
ant,2,0,1,0,2,2,0.000006834182636314496
ant,2,0,1,1,0,0,8.420958102180867e-7
ant,2,0,1,1,0,1,8.420958102180867e-7
ant,2,0,1,1,0,2,8.420958102180867e-7
ant,2,0,1,1,1,0,3.858697753892053e-7
ant,2,0,1,1,1,1,3.858697753892053e-7
ant,2,0,1,1,1,2,3.858697753892053e-7
ant,2,0,1,1,2,0,0.000006834182636314496
ant,2,0,1,1,2,1,0.000006834182636314496
ant,2,0,1,1,2,2,0.000006834182636314496
ant,2,0,1,2,0,0,8.420958102180867e-7
ant,2,0,1,2,0,1,8.420958102180867e-7
ant,2,0,1,2,0,2,8.420958102180867e-7
ant,2,0,1,2,1,0,3.858697753892053e-7
ant,2,0,1,2,1,1,3.858697753892053e-7
ant,2,0,1,2,1,2,3.858697753892053e-7
ant,2,0,1,2,2,0,0.000006834182636314496
ant,2,0,1,2,2,1,0.000006834182636314496
ant,2,0,1,2,2,2,0.000006834182636314496
ant,2,0,2,0,0,0,8.420958102180867e-7
ant,2,0,2,0,0,1,8.420958102180867e-7
ant,2,0,2,0,0,2,8.420958102180867e-7
ant,2,0,2,0,1,0,3.858697753892053e-7
ant,2,0,2,0,1,1,3.858697753892053e-7
ant,2,0,2,0,1,2,3.858697753892053e-7
ant,2,0,2,0,2,0,0.000006834182636314496
ant,2,0,2,0,2,1,0.000006834182636314496
ant,2,0,2,0,2,2,0.000006834182636314496
