category,hairy,big,hard,fast,fierce,striped,strong,prob
horse,0,0,0,1,1,0,0,2.8223679739425375e-7
horse,0,0,0,1,1,0,1,7.367031667318992e-7
horse,0,0,0,1,1,0,2,6.362529170727066e-7
horse,0,0,0,1,1,1,0,2.8223679739425375e-7
horse,0,0,0,1,1,1,1,7.367031667318992e-7
horse,0,0,0,1,1,1,2,6.362529170727066e-7
horse,0,0,0,1,1,2,0,2.8223679739425375e-7
horse,0,0,0,1,1,2,1,7.367031667318992e-7
horse,0,0,0,1,1,2,2,6.362529170727066e-7
horse,0,0,0,1,2,0,0,7.907259732389743e-8
horse,0,0,0,1,2,0,1,2.0687818628386538e-7
horse,0,0,0,1,2,0,2,1.78927824543956e-7
horse,0,0,0,1,2,1,0,7.907259732389743e-8
horse,0,0,0,1,2,1,1,2.0687818628386538e-7
horse,0,0,0,1,2,1,2,1.78927824543956e-7
horse,0,0,0,1,2,2,0,7.907259732389743e-8
horse,0,0,0,1,2,2,1,2.0687818628386538e-7
horse,0,0,0,1,2,2,2,1.78927824543956e-7
horse,0,0,0,2,0,0,0,7.217752960885171e-7
horse,0,0,0,2,0,0,1,0.0000018809313171909027
horse,0,0,0,2,0,0,2,0.0000016228184295433443
horse,0,0,0,2,0,1,0,7.217752960885171e-7
horse,0,0,0,2,0,1,1,0.0000018809313171909027
horse,0,0,0,2,0,1,2,0.0000016228184295433443
horse,0,0,0,2,0,2,0,7.217752960885171e-7
horse,0,0,0,2,0,2,1,0.0000018809313171909027
horse,0,0,0,2,0,2,2,0.0000016228184295433443
horse,0,0,0,2,1,0,0,2.8223679739425375e-7
horse,0,0,0,2,1,0,1,7.367031667318992e-7
horse,0,0,0,2,1,0,2,6.362529170727066e-7
horse,0,0,0,2,1,1,0,2.8223679739425375e-7
horse,0,0,0,2,1,1,1,7.367031667318992e-7
horse,0,0,0,2,1,1,2,6.362529170727066e-7
horse,0,0,0,2,1,2,0,2.8223679739425375e-7
horse,0,0,0,2,1,2,1,7.367031667318992e-7
horse,0,0,0,2,1,2,2,6.362529170727066e-7
horse,0,0,0,2,2,0,0,7.907259732389743e-8
horse,0,0,0,2,2,0,1,2.0687818628386538e-7
horse,0,0,0,2,2,0,2,1.78927824543956e-7
horse,0,0,0,2,2,1,0,7.907259732389743e-8
horse,0,0,0,2,2,1,1,2.0687818628386538e-7
horse,0,0,0,2,2,1,2,1.78927824543956e-7
horse,0,0,0,2,2,2,0,7.907259732389743e-8
horse,0,0,0,2,2,2,1,2.0687818628386538e-7
horse,0,0,0,2,2,2,2,1.78927824543956e-7
horse,0,0,1,0,0,0,0,7.217752960885171e-7
horse,0,0,1,0,0,0,1,0.0000018809313171909027
horse,0,0,1,0,0,0,2,0.0000016228184295433443
horse,0,0,1,0,0,1,0,7.217752960885171e-7
horse,0,0,1,0,0,1,1,0.0000018809313171909027
horse,0,0,1,0,0,1,2,0.0000016228184295433443
horse,0,0,1,0,0,2,0,7.217752960885171e-7
horse,0,0,1,0,0,2,1,0.0000018809313171909027
horse,0,0,1,0,0,2,2,0.0000016228184295433443
horse,0,0,1,0,1,0,0,2.8223679739425375e-7
horse,0,0,1,0,1,0,1,7.367031667318992e-7
horse,0,0,1,0,1,0,2,6.362529170727066e-7
horse,0,0,1,0,1,1,0,2.8223679739425375e-7
horse,0,0,1,0,1,1,1,7.367031667318992e-7
horse,0,0,1,0,1,1,2,6.362529170727066e-7
horse,0,0,1,0,1,2,0,2.8223679739425375e-7
horse,0,0,1,0,1,2,1,7.367031667318992e-7
horse,0,0,1,0,1,2,2,6.362529170727066e-7
horse,0,0,1,0,2,0,0,7.907259732389743e-8
horse,0,0,1,0,2,0,1,2.0687818628386538e-7
horse,0,0,1,0,2,0,2,1.78927824543956e-7
horse,0,0,1,0,2,1,0,7.907259732389743e-8
horse,0,0,1,0,2,1,1,2.0687818628386538e-7
horse,0,0,1,0,2,1,2,1.78927824543956e-7
horse,0,0,1,0,2,2,0,7.907259732389743e-8
horse,0,0,1,0,2,2,1,2.0687818628386538e-7
horse,0,0,1,0,2,2,2,1.78927824543956e-7
horse,0,0,1,1,0,0,0,7.217752960885171e-7
horse,0,0,1,1,0,0,1,0.0000018809313171909027
horse,0,0,1,1,0,0,2,0.0000016228184295433443
horse,0,0,1,1,0,1,0,7.217752960885171e-7
horse,0,0,1,1,0,1,1,0.0000018809313171909027
horse,0,0,1,1,0,1,2,0.0000016228184295433443
horse,0,0,1,1,0,2,0,7.217752960885171e-7
horse,0,0,1,1,0,2,1,0.0000018809313171909027
horse,0,0,1,1,0,2,2,0.0000016228184295433443
horse,0,0,1,1,1,0,0,2.8223679739425375e-7
horse,0,0,1,1,1,0,1,7.367031667318992e-7
horse,0,0,1,1,1,0,2,6.362529170727066e-7
horse,0,0,1,1,1,1,0,2.8223679739425375e-7
horse,0,0,1,1,1,1,1,7.367031667318992e-7
horse,0,0,1,1,1,1,2,6.362529170727066e-7
horse,0,0,1,1,1,2,0,2.8223679739425375e-7
horse,0,0,1,1,1,2,1,7.367031667318992e-7
horse,0,0,1,1,1,2,2,6.362529170727066e-7
horse,0,0,1,1,2,0,0,7.907259732389743e-8
horse,0,0,1,1,2,0,1,2.0687818628386538e-7
horse,0,0,1,1,2,0,2,1.78927824543956e-7
horse,0,0,1,1,2,1,0,7.907259732389743e-8
horse,0,0,1,1,2,1,1,2.0687818628386538e-7
horse,0,0,1,1,2,1,2,1.78927824543956e-7
horse,0,0,1,1,2,2,0,7.907259732389743e-8
horse,0,0,1,1,2,2,1,2.0687818628386538e-7
horse,0,0,1,1,2,2,2,1.78927824543956e-7
horse,0,0,1,2,0,0,0,7.217752960885171e-7
horse,0,0,1,2,0,0,1,0.0000018809313171909027
horse,0,0,1,2,0,0,2,0.0000016228184295433443
horse,0,0,1,2,0,1,0,7.217752960885171e-7
horse,0,0,1,2,0,1,1,0.0000018809313171909027
horse,0,0,1,2,0,1,2,0.0000016228184295433443
horse,0,0,1,2,0,2,0,7.217752960885171e-7
horse,0,0,1,2,0,2,1,0.0000018809313171909027
horse,0,0,1,2,0,2,2,0.0000016228184295433443
horse,0,0,1,2,1,0,0,2.8223679739425375e-7
horse,0,0,1,2,1,0,1,7.367031667318992e-7
horse,0,0,1,2,1,0,2,6.362529170727066e-7
horse,0,0,1,2,1,1,0,2.8223679739425375e-7
horse,0,0,1,2,1,1,1,7.367031667318992e-7
horse,0,0,1,2,1,1,2,6.362529170727066e-7
horse,0,0,1,2,1,2,0,2.8223679739425375e-7
horse,0,0,1,2,1,2,1,7.367031667318992e-7
horse,0,0,1,2,1,2,2,6.362529170727066e-7
horse,0,0,1,2,2,0,0,7.907259732389743e-8
horse,0,0,1,2,2,0,1,2.0687818628386538e-7
horse,0,0,1,2,2,0,2,1.78927824543956e-7
horse,0,0,1,2,2,1,0,7.907259732389743e-8
horse,0,0,1,2,2,1,1,2.0687818628386538e-7
horse,0,0,1,2,2,1,2,1.78927824543956e-7
horse,0,0,1,2,2,2,0,7.907259732389743e-8
horse,0,0,1,2,2,2,1,2.0687818628386538e-7
horse,0,0,1,2,2,2,2,1.78927824543956e-7
horse,0,0,2,0,0,0,0,7.217752960885171e-7
horse,0,0,2,0,0,0,1,0.0000018809313171909027
horse,0,0,2,0,0,0,2,0.0000016228184295433443
horse,0,0,2,0,0,1,0,7.217752960885171e-7
horse,0,0,2,0,0,1,1,0.0000018809313171909027
horse,0,0,2,0,0,1,2,0.0000016228184295433443
horse,0,0,2,0,0,2,0,7.217752960885171e-7
horse,0,0,2,0,0,2,1,0.0000018809313171909027
horse,0,0,2,0,0,2,2,0.0000016228184295433443
horse,0,0,2,0,1,0,0,2.8223679739425375e-7
horse,0,0,2,0,1,0,1,7.367031667318992e-7
horse,0,0,2,0,1,0,2,6.362529170727066e-7
horse,0,0,2,0,1,1,0,2.8223679739425375e-7
horse,0,0,2,0,1,1,1,7.367031667318992e-7
horse,0,0,2,0,1,1,2,6.362529170727066e-7
horse,0,0,2,0,1,2,0,2.8223679739425375e-7
horse,0,0,2,0,1,2,1,7.367031667318992e-7
horse,0,0,2,0,1,2,2,6.362529170727066e-7
horse,0,0,2,0,2,0,0,7.907259732389743e-8
horse,0,0,2,0,2,0,1,2.0687818628386538e-7
horse,0,0,2,0,2,0,2,1.78927824543956e-7
horse,0,0,2,0,2,1,0,7.907259732389743e-8
horse,0,0,2,0,2,1,1,2.0687818628386538e-7
horse,0,0,2,0,2,1,2,1.78927824543956e-7
horse,0,0,2,0,2,2,0,7.907259732389743e-8
horse,0,0,2,0,2,2,1,2.0687818628386538e-7
horse,0,0,2,0,2,2,2,1.78927824543956e-7
horse,0,0,2,1,0,0,0,7.217752960885171e-7
horse,0,0,2,1,0,0,1,0.0000018809313171909027
horse,0,0,2,1,0,0,2,0.0000016228184295433443
horse,0,0,2,1,0,1,0,7.217752960885171e-7
horse,0,0,2,1,0,1,1,0.0000018809313171909027
horse,0,0,2,1,0,1,2,0.0000016228184295433443
horse,0,0,2,1,0,2,0,7.217752960885171e-7
horse,0,0,2,1,0,2,1,0.0000018809313171909027
horse,0,0,2,1,0,2,2,0.0000016228184295433443
horse,0,0,2,1,1,0,0,2.8223679739425375e-7
horse,0,0,2,1,1,0,1,7.367031667318992e-7
horse,0,0,2,1,1,0,2,6.362529170727066e-7
horse,0,0,2,1,1,1,0,2.8223679739425375e-7
horse,0,0,2,1,1,1,1,7.367031667318992e-7
horse,0,0,2,1,1,1,2,6.362529170727066e-7
horse,0,0,2,1,1,2,0,2.8223679739425375e-7
horse,0,0,2,1,1,2,1,7.367031667318992e-7
horse,0,0,2,1,1,2,2,6.362529170727066e-7
horse,0,0,2,1,2,0,0,7.907259732389743e-8
horse,0,0,2,1,2,0,1,2.0687818628386538e-7
horse,0,0,2,1,2,0,2,1.78927824543956e-7
horse,0,0,2,1,2,1,0,7.907259732389743e-8
horse,0,0,2,1,2,1,1,2.0687818628386538e-7
horse,0,0,2,1,2,1,2,1.78927824543956e-7
horse,0,0,2,1,2,2,0,7.907259732389743e-8
horse,0,0,2,1,2,2,1,2.0687818628386538e-7
horse,0,0,2,1,2,2,2,1.78927824543956e-7
horse,0,0,2,2,0,0,0,7.217752960885171e-7
horse,0,0,2,2,0,0,1,0.0000018809313171909027
horse,0,0,2,2,0,0,2,0.0000016228184295433443
horse,0,0,2,2,0,1,0,7.217752960885171e-7
horse,0,0,2,2,0,1,1,0.0000018809313171909027
horse,0,0,2,2,0,1,2,0.0000016228184295433443
horse,0,0,2,2,0,2,0,7.217752960885171e-7
horse,0,0,2,2,0,2,1,0.0000018809313171909027
horse,0,0,2,2,0,2,2,0.0000016228184295433443
horse,0,0,2,2,1,0,0,2.8223679739425375e-7
horse,0,0,2,2,1,0,1,7.367031667318992e-7
horse,0,0,2,2,1,0,2,6.362529170727066e-7
horse,0,0,2,2,1,1,0,2.8223679739425375e-7
horse,0,0,2,2,1,1,1,7.367031667318992e-7
horse,0,0,2,2,1,1,2,6.362529170727066e-7
horse,0,0,2,2,1,2,0,2.8223679739425375e-7
horse,0,0,2,2,1,2,1,7.367031667318992e-7
horse,0,0,2,2,1,2,2,6.362529170727066e-7
horse,0,0,2,2,2,0,0,7.907259732389743e-8
horse,0,0,2,2,2,0,1,2.0687818628386538e-7
horse,0,0,2,2,2,0,2,1.78927824543956e-7
horse,0,0,2,2,2,1,0,7.907259732389743e-8
horse,0,0,2,2,2,1,1,2.0687818628386538e-7
horse,0,0,2,2,2,1,2,1.78927824543956e-7
horse,0,0,2,2,2,2,0,7.907259732389743e-8
horse,0,0,2,2,2,2,1,2.0687818628386538e-7
horse,0,0,2,2,2,2,2,1.78927824543956e-7
horse,0,1,0,0,0,0,0,7.217752960885171e-7
horse,0,1,0,0,0,0,1,0.0000018809313171909027
horse,0,1,0,0,0,0,2,0.0000016228184295433443
horse,0,1,0,0,0,1,0,7.217752960885171e-7
horse,0,1,0,0,0,1,1,0.0000018809313171909027
horse,0,1,0,0,0,1,2,0.0000016228184295433443
horse,0,1,0,0,0,2,0,7.217752960885171e-7
horse,0,1,0,0,0,2,1,0.0000018809313171909027
horse,0,1,0,0,0,2,2,0.0000016228184295433443
horse,0,1,0,0,1,0,0,2.8223679739425375e-7
horse,0,1,0,0,1,0,1,7.367031667318992e-7
horse,0,1,0,0,1,0,2,6.362529170727066e-7
horse,0,1,0,0,1,1,0,2.8223679739425375e-7
horse,0,1,0,0,1,1,1,7.367031667318992e-7
horse,0,1,0,0,1,1,2,6.362529170727066e-7
horse,0,1,0,0,1,2,0,2.8223679739425375e-7
horse,0,1,0,0,1,2,1,7.367031667318992e-7
horse,0,1,0,0,1,2,2,6.362529170727066e-7
horse,0,1,0,0,2,0,0,7.907259732389743e-8
horse,0,1,0,0,2,0,1,2.0687818628386538e-7
horse,0,1,0,0,2,0,2,1.78927824543956e-7
horse,0,1,0,0,2,1,0,7.907259732389743e-8
horse,0,1,0,0,2,1,1,2.0687818628386538e-7
horse,0,1,0,0,2,1,2,1.78927824543956e-7
horse,0,1,0,0,2,2,0,7.907259732389743e-8
horse,0,1,0,0,2,2,1,2.0687818628386538e-7
horse,0,1,0,0,2,2,2,1.78927824543956e-7
horse,0,1,0,1,0,0,0,7.217752960885171e-7
horse,0,1,0,1,0,0,1,0.0000018809313171909027
horse,0,1,0,1,0,0,2,0.0000016228184295433443
horse,0,1,0,1,0,1,0,7.217752960885171e-7
horse,0,1,0,1,0,1,1,0.0000018809313171909027
horse,0,1,0,1,0,1,2,0.0000016228184295433443
horse,0,1,0,1,0,2,0,7.217752960885171e-7
horse,0,1,0,1,0,2,1,0.0000018809313171909027
horse,0,1,0,1,0,2,2,0.0000016228184295433443
horse,0,1,0,1,1,0,0,2.8223679739425375e-7
horse,0,1,0,1,1,0,1,7.367031667318992e-7
horse,0,1,0,1,1,0,2,6.362529170727066e-7
horse,0,1,0,1,1,1,0,2.8223679739425375e-7
horse,0,1,0,1,1,1,1,7.367031667318992e-7
horse,0,1,0,1,1,1,2,6.362529170727066e-7
horse,0,1,0,1,1,2,0,2.8223679739425375e-7
horse,0,1,0,1,1,2,1,7.367031667318992e-7
horse,0,1,0,1,1,2,2,6.362529170727066e-7
horse,0,1,0,1,2,0,0,7.907259732389743e-8
horse,0,1,0,1,2,0,1,2.0687818628386538e-7
horse,0,1,0,1,2,0,2,1.78927824543956e-7
horse,0,1,0,1,2,1,0,7.907259732389743e-8
horse,0,1,0,1,2,1,1,2.0687818628386538e-7
horse,0,1,0,1,2,1,2,1.78927824543956e-7
horse,0,1,0,1,2,2,0,7.907259732389743e-8
horse,0,1,0,1,2,2,1,2.0687818628386538e-7
horse,0,1,0,1,2,2,2,1.78927824543956e-7
horse,0,1,0,2,0,0,0,7.217752960885171e-7
horse,0,1,0,2,0,0,1,0.0000018809313171909027
horse,0,1,0,2,0,0,2,0.0000016228184295433443
horse,0,1,0,2,0,1,0,7.217752960885171e-7
horse,0,1,0,2,0,1,1,0.0000018809313171909027
horse,0,1,0,2,0,1,2,0.0000016228184295433443
horse,0,1,0,2,0,2,0,7.217752960885171e-7
horse,0,1,0,2,0,2,1,0.0000018809313171909027
horse,0,1,0,2,0,2,2,0.0000016228184295433443
horse,0,1,0,2,1,0,0,2.8223679739425375e-7
horse,0,1,0,2,1,0,1,7.367031667318992e-7
horse,0,1,0,2,1,0,2,6.362529170727066e-7
horse,0,1,0,2,1,1,0,2.8223679739425375e-7
horse,0,1,0,2,1,1,1,7.367031667318992e-7
horse,0,1,0,2,1,1,2,6.362529170727066e-7
horse,0,1,0,2,1,2,0,2.8223679739425375e-7
horse,0,1,0,2,1,2,1,7.367031667318992e-7
horse,0,1,0,2,1,2,2,6.362529170727066e-7
horse,0,1,0,2,2,0,0,7.907259732389743e-8
horse,0,1,0,2,2,0,1,2.0687818628386538e-7
horse,0,1,0,2,2,0,2,1.78927824543956e-7
horse,0,1,0,2,2,1,0,7.907259732389743e-8
horse,0,1,0,2,2,1,1,2.0687818628386538e-7
horse,0,1,0,2,2,1,2,1.78927824543956e-7
horse,0,1,0,2,2,2,0,7.907259732389743e-8
horse,0,1,0,2,2,2,1,2.0687818628386538e-7
horse,0,1,0,2,2,2,2,1.78927824543956e-7
horse,0,1,1,0,0,0,0,7.217752960885171e-7
horse,0,1,1,0,0,0,1,0.0000018809313171909027
horse,0,1,1,0,0,0,2,0.0000016228184295433443
horse,0,1,1,0,0,1,0,7.217752960885171e-7
horse,0,1,1,0,0,1,1,0.0000018809313171909027
horse,0,1,1,0,0,1,2,0.0000016228184295433443
horse,0,1,1,0,0,2,0,7.217752960885171e-7
horse,0,1,1,0,0,2,1,0.0000018809313171909027
horse,0,1,1,0,0,2,2,0.0000016228184295433443
horse,0,1,1,0,1,0,0,2.8223679739425375e-7
horse,0,1,1,0,1,0,1,7.367031667318992e-7
horse,0,1,1,0,1,0,2,6.362529170727066e-7
horse,0,1,1,0,1,1,0,2.8223679739425375e-7
horse,0,1,1,0,1,1,1,7.367031667318992e-7
horse,0,1,1,0,1,1,2,6.362529170727066e-7
horse,0,1,1,0,1,2,0,2.8223679739425375e-7
horse,0,1,1,0,1,2,1,7.367031667318992e-7
horse,0,1,1,0,1,2,2,6.362529170727066e-7
horse,0,1,1,0,2,0,0,7.907259732389743e-8
horse,0,1,1,0,2,0,1,2.0687818628386538e-7
horse,0,1,1,0,2,0,2,1.78927824543956e-7
horse,0,1,1,0,2,1,0,7.907259732389743e-8
horse,0,1,1,0,2,1,1,2.0687818628386538e-7
horse,0,1,1,0,2,1,2,1.78927824543956e-7
horse,0,1,1,0,2,2,0,7.907259732389743e-8
horse,0,1,1,0,2,2,1,2.0687818628386538e-7
horse,0,1,1,0,2,2,2,1.78927824543956e-7
horse,0,1,1,1,0,0,0,7.217752960885171e-7
horse,0,1,1,1,0,0,1,0.0000018809313171909027
horse,0,1,1,1,0,0,2,0.0000016228184295433443
horse,0,1,1,1,0,1,0,7.217752960885171e-7
horse,0,1,1,1,0,1,1,0.0000018809313171909027
horse,0,1,1,1,0,1,2,0.0000016228184295433443
horse,0,1,1,1,0,2,0,7.217752960885171e-7
horse,0,1,1,1,0,2,1,0.0000018809313171909027
horse,0,1,1,1,0,2,2,0.0000016228184295433443
horse,0,1,1,1,1,0,0,2.8223679739425375e-7
horse,0,1,1,1,1,0,1,7.367031667318992e-7
horse,0,1,1,1,1,0,2,6.362529170727066e-7
horse,0,1,1,1,1,1,0,2.8223679739425375e-7
horse,0,1,1,1,1,1,1,7.367031667318992e-7
horse,0,1,1,1,1,1,2,6.362529170727066e-7
horse,0,1,1,1,1,2,0,2.8223679739425375e-7
horse,0,1,1,1,1,2,1,7.367031667318992e-7
horse,0,1,1,1,1,2,2,6.362529170727066e-7
horse,0,1,1,1,2,0,0,7.907259732389743e-8
horse,0,1,1,1,2,0,1,2.0687818628386538e-7
horse,0,1,1,1,2,0,2,1.78927824543956e-7
horse,0,1,1,1,2,1,0,7.907259732389743e-8
horse,0,1,1,1,2,1,1,2.0687818628386538e-7
horse,0,1,1,1,2,1,2,1.78927824543956e-7
horse,0,1,1,1,2,2,0,7.907259732389743e-8
horse,0,1,1,1,2,2,1,2.0687818628386538e-7
horse,0,1,1,1,2,2,2,1.78927824543956e-7
horse,0,1,1,2,0,0,0,7.217752960885171e-7
horse,0,1,1,2,0,0,1,0.0000018809313171909027
horse,0,1,1,2,0,0,2,0.0000016228184295433443
horse,0,1,1,2,0,1,0,7.217752960885171e-7
horse,0,1,1,2,0,1,1,0.0000018809313171909027
horse,0,1,1,2,0,1,2,0.0000016228184295433443
horse,0,1,1,2,0,2,0,7.217752960885171e-7
horse,0,1,1,2,0,2,1,0.0000018809313171909027
horse,0,1,1,2,0,2,2,0.0000016228184295433443
horse,0,1,1,2,1,0,0,2.8223679739425375e-7
horse,0,1,1,2,1,0,1,7.367031667318992e-7
horse,0,1,1,2,1,0,2,6.362529170727066e-7
horse,0,1,1,2,1,1,0,2.8223679739425375e-7
horse,0,1,1,2,1,1,1,7.367031667318992e-7
horse,0,1,1,2,1,1,2,6.362529170727066e-7
horse,0,1,1,2,1,2,0,2.8223679739425375e-7
horse,0,1,1,2,1,2,1,7.367031667318992e-7
horse,0,1,1,2,1,2,2,6.362529170727066e-7
horse,0,1,1,2,2,0,0,7.907259732389743e-8
horse,0,1,1,2,2,0,1,2.0687818628386538e-7
horse,0,1,1,2,2,0,2,1.78927824543956e-7
horse,0,1,1,2,2,1,0,7.907259732389743e-8
horse,0,1,1,2,2,1,1,2.0687818628386538e-7
horse,0,1,1,2,2,1,2,1.78927824543956e-7
horse,0,1,1,2,2,2,0,7.907259732389743e-8
horse,0,1,1,2,2,2,1,2.0687818628386538e-7
horse,0,1,1,2,2,2,2,1.78927824543956e-7
horse,0,1,2,0,0,0,0,7.217752960885171e-7
horse,0,1,2,0,0,0,1,0.0000018809313171909027
horse,0,1,2,0,0,0,2,0.0000016228184295433443
horse,0,1,2,0,0,1,0,7.217752960885171e-7
horse,0,1,2,0,0,1,1,0.0000018809313171909027
horse,0,1,2,0,0,1,2,0.0000016228184295433443
horse,0,1,2,0,0,2,0,7.217752960885171e-7
horse,0,1,2,0,0,2,1,0.0000018809313171909027
horse,0,1,2,0,0,2,2,0.0000016228184295433443
horse,0,1,2,0,1,0,0,2.8223679739425375e-7
horse,0,1,2,0,1,0,1,7.367031667318992e-7
horse,0,1,2,0,1,0,2,6.362529170727066e-7
horse,0,1,2,0,1,1,0,2.8223679739425375e-7
horse,0,1,2,0,1,1,1,7.367031667318992e-7
horse,0,1,2,0,1,1,2,6.362529170727066e-7
horse,0,1,2,0,1,2,0,2.8223679739425375e-7
horse,0,1,2,0,1,2,1,7.367031667318992e-7
horse,0,1,2,0,1,2,2,6.362529170727066e-7
horse,0,1,2,0,2,0,0,7.907259732389743e-8
horse,0,1,2,0,2,0,1,2.0687818628386538e-7
horse,0,1,2,0,2,0,2,1.78927824543956e-7
horse,0,1,2,0,2,1,0,7.907259732389743e-8
horse,0,1,2,0,2,1,1,2.0687818628386538e-7
horse,0,1,2,0,2,1,2,1.78927824543956e-7
horse,0,1,2,0,2,2,0,7.907259732389743e-8
horse,0,1,2,0,2,2,1,2.0687818628386538e-7
horse,0,1,2,0,2,2,2,1.78927824543956e-7
horse,0,1,2,1,0,0,0,7.217752960885171e-7
horse,0,1,2,1,0,0,1,0.0000018809313171909027
horse,0,1,2,1,0,0,2,0.0000016228184295433443
horse,0,1,2,1,0,1,0,7.217752960885171e-7
horse,0,1,2,1,0,1,1,0.0000018809313171909027
horse,0,1,2,1,0,1,2,0.0000016228184295433443
horse,0,1,2,1,0,2,0,7.217752960885171e-7
horse,0,1,2,1,0,2,1,0.0000018809313171909027
horse,0,1,2,1,0,2,2,0.0000016228184295433443
horse,0,1,2,1,1,0,0,2.8223679739425375e-7
horse,0,1,2,1,1,0,1,7.367031667318992e-7
horse,0,1,2,1,1,0,2,6.362529170727066e-7
horse,0,1,2,1,1,1,0,2.8223679739425375e-7
horse,0,1,2,1,1,1,1,7.367031667318992e-7
horse,0,1,2,1,1,1,2,6.362529170727066e-7
horse,0,1,2,1,1,2,0,2.8223679739425375e-7
horse,0,1,2,1,1,2,1,7.367031667318992e-7
horse,0,1,2,1,1,2,2,6.362529170727066e-7
horse,0,1,2,1,2,0,0,7.907259732389743e-8
horse,0,1,2,1,2,0,1,2.0687818628386538e-7
horse,0,1,2,1,2,0,2,1.78927824543956e-7
horse,0,1,2,1,2,1,0,7.907259732389743e-8
horse,0,1,2,1,2,1,1,2.0687818628386538e-7
horse,0,1,2,1,2,1,2,1.78927824543956e-7
horse,0,1,2,1,2,2,0,7.907259732389743e-8
horse,0,1,2,1,2,2,1,2.0687818628386538e-7
horse,0,1,2,1,2,2,2,1.78927824543956e-7
horse,0,1,2,2,0,0,0,7.217752960885171e-7
horse,0,1,2,2,0,0,1,0.0000018809313171909027
horse,0,1,2,2,0,0,2,0.0000016228184295433443
horse,0,1,2,2,0,1,0,7.217752960885171e-7
horse,0,1,2,2,0,1,1,0.0000018809313171909027
horse,0,1,2,2,0,1,2,0.0000016228184295433443
horse,0,1,2,2,0,2,0,7.217752960885171e-7
horse,0,1,2,2,0,2,1,0.0000018809313171909027
horse,0,1,2,2,0,2,2,0.0000016228184295433443
horse,0,1,2,2,1,0,0,2.8223679739425375e-7
horse,0,1,2,2,1,0,1,7.367031667318992e-7
horse,0,1,2,2,1,0,2,6.362529170727066e-7
horse,0,1,2,2,1,1,0,2.8223679739425375e-7
horse,0,1,2,2,1,1,1,7.367031667318992e-7
horse,0,1,2,2,1,1,2,6.362529170727066e-7
horse,0,1,2,2,1,2,0,2.8223679739425375e-7
horse,0,1,2,2,1,2,1,7.367031667318992e-7
horse,0,1,2,2,1,2,2,6.362529170727066e-7
horse,0,1,2,2,2,0,0,7.907259732389743e-8
horse,0,1,2,2,2,0,1,2.0687818628386538e-7
horse,0,1,2,2,2,0,2,1.78927824543956e-7
horse,0,1,2,2,2,1,0,7.907259732389743e-8
horse,0,1,2,2,2,1,1,2.0687818628386538e-7
horse,0,1,2,2,2,1,2,1.78927824543956e-7
horse,0,1,2,2,2,2,0,7.907259732389743e-8
horse,0,1,2,2,2,2,1,2.0687818628386538e-7
horse,0,1,2,2,2,2,2,1.78927824543956e-7
horse,0,2,0,0,0,0,0,7.217752960885171e-7
horse,0,2,0,0,0,0,1,0.0000018809313171909027
horse,0,2,0,0,0,0,2,0.0000016228184295433443
horse,0,2,0,0,0,1,0,7.217752960885171e-7
horse,0,2,0,0,0,1,1,0.0000018809313171909027
horse,0,2,0,0,0,1,2,0.0000016228184295433443
horse,0,2,0,0,0,2,0,7.217752960885171e-7
horse,0,2,0,0,0,2,1,0.0000018809313171909027
