workerid,gender,age,income,categoryID,order,animal,name,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
A1EO7HJ1ERB7GJ,M,35,4,18,1,horse,Ivan,0.275,0.725,0.625,0.325,0.375,0.8,0.85,0.6,0.775,0.575,0.4,0.35,0.675,0.3,0.625,0.675
A1EO7HJ1ERB7GJ,M,35,4,25,2,pig,Jake,0.85,0.275,0.75,0.275,0.3,0.7,0.275,0.725,0.625,0.4,0.7,0.35,0.4,0.6,0.325,0.6
A1EO7HJ1ERB7GJ,M,35,4,8,3,cow,Henry,0.8,0.275,0.8,0.275,0.275,0.725,0.3,0.75,0.75,0.25,0.725,0.275,0.3,0.725,0.275,0.75
A1EO7HJ1ERB7GJ,M,35,4,21,4,monkey,Tom,0.9,0.25,0.7,0.225,0.725,0.3,0.7,0.25,0.8,0.3,0.75,0.3,0.25,0.725,0.275,0.7
A1EO7HJ1ERB7GJ,M,35,4,1,5,ant,Albert,0.425,0.375,0.6,0.65,0.65,0.675,0.375,0.3,0.525,0.25,0.725,0.3,0.7,0.75,0.725,0.775
A1EO7HJ1ERB7GJ,M,35,4,10,6,dolphin,Alex,0.725,0.3,0.325,0.725,0.725,0.3,0.625,0.65,0.75,0.375,0.375,0.675,0.7,0.625,0.375,0.3
A1EO7HJ1ERB7GJ,M,35,4,32,7,zebra,Victor,0.725,0.7,0.325,0.725,0.275,0.225,0.725,0.45,0.7,0.4,0.675,0.7,0.675,0.35,0.325,0.675
A1EO7HJ1ERB7GJ,M,35,4,15,8,frog,Ethan,0.7,0.8,0.25,0.7,0.725,0.3,0.225,0.275,0.7,0.675,0.275,0.7,0.325,0.375,0.675,0.725
A1EO7HJ1ERB7GJ,M,35,4,22,9,owl,Harry,0.7,0.275,0.7,0.725,0.725,0.35,0.275,0.325,0.325,0.275,0.7,0.725,0.3,0.7,0.35,0.35
A1EO7HJ1ERB7GJ,M,35,4,5,10,bird,Patrick,0.65,0.725,0.75,0.2,0.675,0.725,0.325,0.225,0.75,0.35,0.15,0.95,0.325,0.725,0.3,0.7
A1EO7HJ1ERB7GJ,M,35,4,29,11,tiger,Luke,0.775,0.65,0.925,0.6,0.35,0.35,0.2,0.225,0.35,0.3,0.3,0.175,0.7,0.7,0.55,0.825
A1EO7HJ1ERB7GJ,M,35,4,7,12,cat,George,0.775,0.575,0.775,0.6,0.55,0.425,0.1,0.075,0.4,0.325,0.65,0.75,0.7,0.375,0.3,0.35
A1EO7HJ1ERB7GJ,M,35,4,11,13,duck,Fred,0.8,0.825,0.825,0.875,0.775,0.525,0.6,0.625,0.325,0.525,0.4,0.55,0.35,0.55,0.25,0.575
A1EO7HJ1ERB7GJ,M,35,4,30,14,whale,Calvin,0.6,0.8,0.225,0.275,0.65,0.725,0.375,0.225,0.4,0.375,0.675,0.675,0.325,0.325,0.575,0.6
A1EO7HJ1ERB7GJ,M,35,4,9,15,dog,Bob,1,0.725,1,0.3,0.4,0.4,0.7,0.575,0.6,0.6,0.425,0.575,0.375,0.325,0.575,0.625
A1EO7HJ1ERB7GJ,M,35,4,2,16,bat,Owen,0.775,0.65,0.675,0.7,0.625,0.625,0.45,0.425,0.3,0.675,0.325,0.65,0.325,0.65,0.3,0.675
ADPVKKFJ886DJ,F,25,0,11,1,duck,Ivan,0.85,0.25,0.75,0.325,0.725,0.4,0.775,0.35,0.275,0.7,0.325,0.7,0.35,0.675,0.225,0.725
ADPVKKFJ886DJ,F,25,0,10,2,dolphin,Jake,0.5,0.55,0.525,0.525,0.55,0.525,0.55,0.5,0.525,0.5,0.5,0.525,0.525,0.525,0.5,0.5
ADPVKKFJ886DJ,F,25,0,29,3,tiger,Frank,0.7,0.35,0.725,0.35,0.775,0.35,0.725,0.275,0.5,0.5,0.525,0.525,0.5,0.525,0.5,0.5
ADPVKKFJ886DJ,F,25,0,7,4,cat,Tom,0.75,0.275,0.8,0.25,0.75,0.225,0.75,0.275,0.5,0.5,0.525,0.55,0.5,0.5,0.55,0.5
ADPVKKFJ886DJ,F,25,0,3,5,bear,Fred,0.475,0.5,0.475,0.5,0.5,0.5,0.5,0.475,0.5,0.5,0.525,0.5,0.5,0.5,0.5,0.475
ADPVKKFJ886DJ,F,25,0,19,6,kangaroo,Robert,0.75,0.75,0.3,0.3,0.8,0.825,0.3,0.325,0.5,0.525,0.5,0.5,0.5,0.55,0.5,0.55
ADPVKKFJ886DJ,F,25,0,1,7,ant,Calvin,0.525,0.525,0.5,0.525,0.5,0.55,0.5,0.5,0.575,0.55,0.5,0.55,0.55,0.5,0.525,0.5
ADPVKKFJ886DJ,F,25,0,2,8,bat,Nathan,0.675,0.75,0.8,0.275,0.875,0.325,0.875,0.275,0.5,0.5,0.55,0.5,0.575,0.525,0.55,0.5
ADPVKKFJ886DJ,F,25,0,13,9,fish,Eric,0.725,0.775,0.775,0.8,0.825,0.775,0.775,0.75,0.5,0.55,0.5,0.55,0.5,0.5,0.5,0.5
ADPVKKFJ886DJ,F,25,0,18,10,horse,David,0.725,0.725,0.725,0.775,0.725,0.8,0.775,0.8,0.525,0.5,0.5,0.525,0.55,0.55,0.55,0.525
ADPVKKFJ886DJ,F,25,0,12,11,elephant,Bob,0.75,0.725,0.675,0.725,0.725,0.725,0.675,0.725,0.5,0.5,0.55,0.5,0.55,0.525,0.55,0.5
ADPVKKFJ886DJ,F,25,0,4,12,bee,Gary,0.7,0.725,0.7,0.75,0.75,0.7,0.75,0.725,0.5,0.55,0.525,0.525,0.525,0.525,0.55,0.5
ADPVKKFJ886DJ,F,25,0,28,13,sheep,Barry,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.525,0.5,0.55,0.5,0.5,0.5
ADPVKKFJ886DJ,F,25,0,24,14,penguin,Kenneth,0.5,0.525,0.525,0.525,0.5,0.525,0.525,0.5,0.55,0.55,0.5,0.5,0.5,0.5,0.525,0.475
